============ Start of Season ============
1991-01-23 | w: NYK | L: UTH
1991-01-23 | w: CLE | L: DAL
1991-01-23 | w: SAC | L: MIL
1991-01-23 | w: WAS | L: ATL
1991-01-24 | w: SAN | L: CLE
1991-01-24 | w: HOU | L: MIN
1991-01-24 | w: DEN | L: NYK
1991-01-24 | w: LAL | L: CHH
1991-01-25 | w: GOS | L: MIL
1991-01-25 | w: PHL | L: BOS
1991-01-25 | w: CHI | L: MIA
1991-01-25 | w: PHX | L: SEA
1991-01-25 | w: LAL | L: NJN
1991-01-25 | w: DET | L: DAL
1991-01-25 | w: UTH | L: SAC
1991-01-25 | w: IND | L: WAS
1991-01-26 | w: DAL | L: WAS
1991-01-26 | w: SEA | L: ATL
1991-01-26 | w: HOU | L: CLE
1991-01-26 | w: PHX | L: NYK
1991-01-26 | w: POR | L: SAC
1991-01-26 | w: SAN | L: MIN
1991-01-26 | w: DEN | L: UTH
1991-01-26 | w: LAC | L: MIL
1991-01-26 | w: NJN | L: MIA
1991-01-26 | w: DET | L: ORL
1991-01-26 | w: CHH | L: PHL
1991-01-27 | w: LAL | L: BOS
1991-01-28 | w: GOS | L: NYK
1991-01-28 | w: SAN | L: SEA
1991-01-28 | w: DET | L: WAS
1991-01-28 | w: POR | L: ATL
1991-01-28 | w: SAC | L: NJN
1991-01-28 | w: BOS | L: MIN
1991-01-29 | w: LAL | L: NJN
1991-01-29 | w: CLE | L: CHH
1991-01-29 | w: HOU | L: SAN
1991-01-29 | w: ORL | L: PHX
1991-01-29 | w: NYK | L: LAC
1991-01-29 | w: UTH | L: ATL
1991-01-29 | w: DEN | L: MIL
1991-01-29 | w: DAL | L: SEA
1991-01-29 | w: WAS | L: MIA
1991-01-30 | w: BOS | L: ORL
1991-01-30 | w: DET | L: CLE
1991-01-30 | w: PHX | L: MIA
1991-01-30 | w: IND | L: CHH
1991-01-30 | w: MIN | L: SAC
1991-01-31 | w: GOS | L: LAC
1991-01-31 | w: SAN | L: CHI
1991-01-31 | w: LAL | L: ATL
1991-01-31 | w: WAS | L: NYK
1991-01-31 | w: SEA | L: HOU
1991-01-31 | w: UTH | L: POR
1991-01-31 | w: DEN | L: NJN
1991-02-01 | w: CHH | L: BOS
1991-02-01 | w: PHL | L: PHX
1991-02-01 | w: LAL | L: LAC
1991-02-01 | w: MIA | L: IND
1991-02-01 | w: POR | L: GOS
1991-02-01 | w: MIL | L: SAC
1991-02-01 | w: CHI | L: DAL
1991-02-01 | w: DET | L: WAS
1991-02-02 | w: NYK | L: SAC
1991-02-02 | w: UTH | L: NJN
1991-02-02 | w: DEN | L: ATL
1991-02-02 | w: IND | L: SEA
1991-02-02 | w: HOU | L: SAN
1991-02-02 | w: ORL | L: MIA
1991-02-02 | w: CLE | L: MIN
1991-02-03 | w: LAL | L: CHI
1991-02-03 | w: BOS | L: WAS
1991-02-03 | w: HOU | L: GOS
1991-02-03 | w: PHX | L: DET
1991-02-03 | w: MIL | L: CHH
1991-02-03 | w: MIN | L: PHL
1991-02-04 | w: MIL | L: CLE
1991-02-04 | w: POR | L: NJN
1991-02-04 | w: CHI | L: SAC
1991-02-04 | w: SEA | L: CHH
1991-02-05 | w: GOS | L: SAN
1991-02-05 | w: LAL | L: LAC
1991-02-05 | w: PHX | L: DEN
1991-02-05 | w: ORL | L: NYK
1991-02-05 | w: DET | L: PHL
1991-02-05 | w: ATL | L: CLE
1991-02-05 | w: DAL | L: IND
1991-02-05 | w: MIN | L: UTH
1991-02-06 | w: PHL | L: WAS
1991-02-06 | w: BOS | L: CHH
1991-02-06 | w: MIA | L: NJN
1991-02-06 | w: UTH | L: PHX
1991-02-06 | w: HOU | L: MIL
1991-02-06 | w: SAC | L: POR
1991-02-06 | w: SEA | L: LAC
1991-02-07 | w: SAN | L: IND
1991-02-07 | w: BOS | L: NYK
1991-02-07 | w: HOU | L: CLE
1991-02-07 | w: ORL | L: MIN
1991-02-07 | w: CHI | L: DET
1991-02-07 | w: ATL | L: CHH
1991-02-07 | w: DAL | L: GOS
1991-02-07 | w: WAS | L: NJN
1991-02-12 | w: GOS | L: MIN
1991-02-12 | w: SAN | L: WAS
1991-02-12 | w: CHI | L: ATL
1991-02-12 | w: PHX | L: LAL
1991-02-12 | w: ORL | L: DEN
1991-02-12 | w: CLE | L: MIA
1991-02-12 | w: POR | L: PHL
1991-02-12 | w: NYK | L: IND
1991-02-12 | w: UTH | L: HOU
1991-02-12 | w: SAC | L: LAC
1991-02-12 | w: CHH | L: DAL
1991-02-12 | w: BOS | L: SEA
1991-02-13 | w: LAL | L: MIN
1991-02-13 | w: NJN | L: ATL
1991-02-13 | w: CLE | L: DAL
1991-02-13 | w: IND | L: DET
1991-02-14 | w: BOS | L: GOS
1991-02-14 | w: PHX | L: SAN
1991-02-14 | w: CHI | L: NYK
1991-02-14 | w: HOU | L: WAS
1991-02-14 | w: SEA | L: ORL
1991-02-14 | w: MIA | L: DEN
1991-02-14 | w: DET | L: MIL
1991-02-14 | w: SAC | L: PHL
1991-02-15 | w: BOS | L: LAL
1991-02-15 | w: NJN | L: DEN
1991-02-15 | w: CLE | L: NYK
1991-02-15 | w: LAC | L: MIN
1991-02-15 | w: POR | L: UTH
1991-02-15 | w: DAL | L: WAS
1991-02-15 | w: MIL | L: CHH
1991-02-16 | w: ATL | L: SEA
1991-02-16 | w: HOU | L: PHX
1991-02-16 | w: CHI | L: NJN
1991-02-16 | w: UTH | L: MIN
1991-02-16 | w: DAL | L: SAN
1991-02-16 | w: MIA | L: CHH
1991-02-16 | w: GOS | L: PHL
1991-02-17 | w: LAL | L: POR
1991-02-17 | w: NYK | L: DET
1991-02-17 | w: MIL | L: ORL
1991-02-17 | w: PHL | L: LAC
1991-02-17 | w: IND | L: SAC
