============ Start of Season ============
1979-01-09 | w: IND | L: POR
1979-01-09 | w: HOU | L: KCK
1979-01-10 | w: CHI | L: NJN
1979-01-10 | w: ATL | L: MIL
1979-01-10 | w: PHL | L: NOJ
1979-01-10 | w: LAL | L: BOS
1979-01-10 | w: SEA | L: IND
1979-01-11 | w: SAN | L: SDC
1979-01-11 | w: KCK | L: GOS
1979-01-11 | w: SEA | L: PHX
1979-01-11 | w: DET | L: POR
1979-01-12 | w: ATL | L: CHI
1979-01-12 | w: LAL | L: NJN
1979-01-12 | w: BOS | L: POR
1979-01-12 | w: DEN | L: NYK
1979-01-12 | w: MIL | L: GOS
1979-01-12 | w: NOJ | L: PHL
1979-01-12 | w: HOU | L: CLE
1979-01-13 | w: SAN | L: CLE
1979-01-13 | w: DET | L: GOS
1979-01-13 | w: IND | L: PHX
1979-01-13 | w: HOU | L: NOJ
1979-01-13 | w: ATL | L: SDC
1979-01-14 | w: KCK | L: NYK
1979-01-14 | w: NJN | L: BOS
1979-01-14 | w: DEN | L: IND
1979-01-14 | w: MIL | L: CHI
1979-01-14 | w: PHL | L: POR
1979-01-14 | w: ATL | L: HOU
1979-01-14 | w: LAL | L: SEA
1979-01-14 | w: WAS | L: SDC
1979-01-16 | w: NYK | L: DET
1979-01-16 | w: KCK | L: CLE
1979-01-16 | w: DEN | L: NOJ
1979-01-17 | w: NJN | L: DET
1979-01-17 | w: SDC | L: LAL
1979-01-17 | w: SAN | L: DEN
1979-01-17 | w: HOU | L: GOS
1979-01-17 | w: KCK | L: BOS
1979-01-17 | w: MIL | L: PHX
1979-01-17 | w: PHL | L: CLE
1979-01-17 | w: WAS | L: NOJ
1979-01-17 | w: SEA | L: IND
1979-01-17 | w: ATL | L: POR
1979-01-18 | w: PHX | L: DET
1979-01-19 | w: HOU | L: LAL
1979-01-19 | w: KCK | L: SAN
1979-01-19 | w: NYK | L: CLE
1979-01-19 | w: WAS | L: CHI
1979-01-19 | w: NOJ | L: POR
1979-01-19 | w: BOS | L: MIL
1979-01-19 | w: DEN | L: IND
1979-01-20 | w: SEA | L: CHI
1979-01-20 | w: POR | L: SAN
1979-01-20 | w: DET | L: KCK
1979-01-20 | w: PHX | L: HOU
1979-01-20 | w: ATL | L: NOJ
1979-01-20 | w: BOS | L: PHL
1979-01-20 | w: DEN | L: GOS
1979-01-20 | w: WAS | L: IND
1979-01-21 | w: LAL | L: GOS
1979-01-21 | w: NOJ | L: ATL
1979-01-21 | w: PHL | L: BOS
1979-01-21 | w: MIL | L: NYK
1979-01-21 | w: CLE | L: CHI
1979-01-22 | w: DET | L: DEN
1979-01-23 | w: LAL | L: NYK
1979-01-23 | w: CHI | L: BOS
1979-01-23 | w: NOJ | L: KCK
1979-01-23 | w: CLE | L: DEN
1979-01-23 | w: IND | L: ATL
1979-01-23 | w: SEA | L: WAS
1979-01-24 | w: CLE | L: NJN
1979-01-24 | w: SDC | L: POR
1979-01-24 | w: SAN | L: KCK
1979-01-24 | w: GOS | L: NYK
1979-01-24 | w: PHX | L: PHL
1979-01-24 | w: WAS | L: BOS
1979-01-24 | w: HOU | L: DEN
1979-01-25 | w: DET | L: LAL
1979-01-25 | w: POR | L: GOS
1979-01-25 | w: SEA | L: ATL
1979-01-26 | w: SDC | L: CHI
1979-01-26 | w: PHL | L: GOS
1979-01-26 | w: NJN | L: NOJ
1979-01-26 | w: KCK | L: WAS
1979-01-26 | w: SAN | L: SEA
1979-01-26 | w: DEN | L: LAL
1979-01-26 | w: PHX | L: NYK
1979-01-26 | w: IND | L: BOS
1979-01-27 | w: SEA | L: HOU
1979-01-27 | w: ATL | L: SAN
1979-01-27 | w: SDC | L: CLE
1979-01-28 | w: LAL | L: MIL
1979-01-28 | w: KCK | L: CLE
1979-01-28 | w: DEN | L: CHI
1979-01-28 | w: NJN | L: PHX
1979-01-28 | w: BOS | L: GOS
1979-01-28 | w: DET | L: SDC
1979-01-28 | w: WAS | L: NYK
1979-01-28 | w: POR | L: PHL
1979-01-28 | w: IND | L: SAN
1979-01-29 | w: GOS | L: NYK
1979-01-30 | w: LAL | L: NJN
1979-01-30 | w: SAN | L: CHI
1979-01-30 | w: SDC | L: MIL
1979-01-30 | w: POR | L: DEN
1979-01-30 | w: WAS | L: ATL
1979-01-30 | w: IND | L: HOU
1979-01-31 | w: SDC | L: NJN
1979-01-31 | w: GOS | L: PHL
1979-01-31 | w: BOS | L: HOU
1979-01-31 | w: PHX | L: MIL
1979-01-31 | w: NYK | L: DET
1979-01-31 | w: ATL | L: KCK
1979-01-31 | w: SEA | L: POR
1979-02-01 | w: PHL | L: CHI
1979-02-01 | w: WAS | L: SAN
1979-02-01 | w: SEA | L: NJN
1979-02-01 | w: DET | L: CLE
1979-02-02 | w: CHI | L: NOJ
1979-02-02 | w: SDC | L: DEN
1979-02-02 | w: KCK | L: DET
1979-02-02 | w: PHX | L: SAN
1979-02-02 | w: NYK | L: PHL
1979-02-02 | w: BOS | L: CLE
1979-02-02 | w: IND | L: GOS
1979-02-02 | w: WAS | L: HOU
1979-02-02 | w: POR | L: NJN
1979-02-02 | w: SEA | L: MIL
1979-02-06 | w: LAL | L: SAN
1979-02-06 | w: CHI | L: IND
1979-02-06 | w: NYK | L: SEA
1979-02-06 | w: HOU | L: DET
1979-02-06 | w: ATL | L: BOS
1979-02-06 | w: CLE | L: NJN
1979-02-06 | w: POR | L: PHX
1979-02-07 | w: KCK | L: ATL
1979-02-07 | w: SAN | L: SDC
1979-02-07 | w: LAL | L: GOS
1979-02-07 | w: BOS | L: SEA
1979-02-07 | w: DEN | L: CLE
1979-02-07 | w: PHL | L: DET
1979-02-07 | w: WAS | L: MIL
1979-02-07 | w: NOJ | L: NYK
1979-02-07 | w: NJN | L: IND
1979-02-08 | w: NJN | L: DET
1979-02-08 | w: HOU | L: MIL
1979-02-09 | w: LAL | L: CLE
1979-02-09 | w: KCK | L: CHI
1979-02-09 | w: DEN | L: GOS
1979-02-09 | w: PHL | L: SDC
1979-02-09 | w: ATL | L: PHX
1979-02-09 | w: MIL | L: SEA
1979-02-09 | w: BOS | L: IND
1979-02-09 | w: HOU | L: NOJ
1979-02-09 | w: POR | L: SAN
1979-02-10 | w: BOS | L: NYK
1979-02-10 | w: NOJ | L: DET
1979-02-10 | w: HOU | L: SEA
1979-02-11 | w: SAN | L: GOS
1979-02-11 | w: KCK | L: LAL
1979-02-11 | w: NJN | L: SDC
1979-02-11 | w: MIL | L: DEN
1979-02-11 | w: PHX | L: CLE
1979-02-11 | w: PHL | L: WAS
1979-02-11 | w: BOS | L: NYK
1979-02-11 | w: POR | L: ATL
1979-02-11 | w: IND | L: CHI
1979-02-13 | w: DEN | L: CHI
1979-02-13 | w: WAS | L: SDC
1979-02-13 | w: NJN | L: KCK
1979-02-13 | w: CLE | L: LAL
1979-02-13 | w: POR | L: NOJ
1979-02-13 | w: IND | L: HOU
1979-02-14 | w: SAN | L: BOS
