============ Start of Season ============
1967-03-18 | w: BOS | L: NYK
1967-03-18 | w: PHL | L: BLT
1967-03-18 | w: CIN | L: SFW
1967-03-19 | w: BOS | L: NYK
1967-03-19 | w: SFW | L: DET
1967-03-19 | w: PHL | L: BLT
1967-03-19 | w: CHI | L: LAL
============ End of Regular Season ============
1967-03-21 | w: STL | L: CHI
1967-03-21 | w: BOS | L: NYK
1967-03-21 | w: SFW | L: LAL
1967-03-21 | w: CIN | L: PHL
1967-03-22 | w: PHL | L: CIN
1967-03-23 | w: SFW | L: LAL
1967-03-23 | w: STL | L: CHI
1967-03-24 | w: PHL | L: CIN
1967-03-25 | w: STL | L: CHI
1967-03-25 | w: BOS | L: NYK
1967-03-25 | w: PHL | L: CIN
1967-03-26 | w: NYK | L: BOS
1967-03-26 | w: SFW | L: LAL
1967-03-28 | w: BOS | L: NYK
1967-03-30 | w: SFW | L: STL
1967-03-31 | w: PHL | L: BOS
1967-04-01 | w: SFW | L: STL
1967-04-02 | w: PHL | L: BOS
1967-04-05 | w: STL | L: SFW
1967-04-05 | w: PHL | L: BOS
1967-04-08 | w: STL | L: SFW
1967-04-09 | w: BOS | L: PHL
1967-04-10 | w: SFW | L: STL
1967-04-11 | w: PHL | L: BOS
1967-04-12 | w: SFW | L: STL
1967-04-14 | w: PHL | L: SFW
1967-04-16 | w: PHL | L: SFW
1967-04-18 | w: SFW | L: PHL
1967-04-20 | w: PHL | L: SFW
1967-04-23 | w: SFW | L: PHL
1967-04-24 | w: PHL | L: SFW
============ End of Playoffs ============
