============ Start of Season ============
1971-12-18 | w: SEA | L: POR
1971-12-18 | w: LAL | L: PHX
1971-12-18 | w: HOU | L: CIN
1971-12-18 | w: NYK | L: CLE
1971-12-19 | w: LAL | L: PHL
1971-12-19 | w: ATL | L: CIN
1971-12-19 | w: MIL | L: BLT
1971-12-19 | w: POR | L: DET
1971-12-19 | w: CHI | L: CLE
1971-12-19 | w: SEA | L: PHX
1971-12-21 | w: NYK | L: GOS
1971-12-21 | w: CHI | L: DET
1971-12-21 | w: PHX | L: PHL
1971-12-21 | w: HOU | L: POR
1971-12-21 | w: LAL | L: BUF
1971-12-22 | w: DET | L: CLE
1971-12-22 | w: LAL | L: BLT
1971-12-22 | w: NYK | L: SEA
1971-12-22 | w: BOS | L: MIL
1971-12-22 | w: ATL | L: CIN
1971-12-23 | w: NYK | L: POR
1971-12-23 | w: CLE | L: ATL
1971-12-23 | w: CHI | L: PHX
1971-12-25 | w: ATL | L: BUF
1971-12-25 | w: NYK | L: GOS
1971-12-25 | w: PHX | L: SEA
1971-12-25 | w: CHI | L: POR
1971-12-25 | w: BLT | L: PHL
1971-12-25 | w: BOS | L: CIN
1971-12-25 | w: DET | L: MIL
1971-12-26 | w: LAL | L: HOU
1971-12-26 | w: CHI | L: SEA
1971-12-26 | w: MIL | L: ATL
1971-12-26 | w: CLE | L: BLT
1971-12-27 | w: ATL | L: POR
1971-12-27 | w: BOS | L: GOS
1971-12-27 | w: PHL | L: BUF
1971-12-28 | w: LAL | L: BUF
1971-12-28 | w: NYK | L: DET
1971-12-28 | w: BLT | L: CIN
1971-12-28 | w: CHI | L: MIL
1971-12-28 | w: BOS | L: PHL
1971-12-28 | w: CLE | L: POR
1971-12-29 | w: PHX | L: HOU
1971-12-29 | w: MIL | L: POR
1971-12-29 | w: CLE | L: PHL
1971-12-29 | w: GOS | L: CIN
1971-12-30 | w: BLT | L: NYK
1971-12-30 | w: GOS | L: DET
1971-12-30 | w: LAL | L: SEA
1971-12-30 | w: HOU | L: ATL
1971-12-30 | w: CHI | L: POR
1971-12-30 | w: PHX | L: BUF
1971-12-31 | w: BOS | L: PHL
1972-01-01 | w: NYK | L: CIN
1972-01-01 | w: SEA | L: BUF
1972-01-01 | w: PHX | L: BOS
1972-01-02 | w: LAL | L: BOS
1972-01-02 | w: DET | L: HOU
1972-01-02 | w: ATL | L: PHX
1972-01-02 | w: POR | L: BUF
1972-01-02 | w: PHL | L: CLE
1972-01-03 | w: NYK | L: MIL
1972-01-04 | w: MIL | L: NYK
1972-01-04 | w: GOS | L: BUF
1972-01-04 | w: PHL | L: DET
1972-01-04 | w: HOU | L: SEA
1972-01-04 | w: PHX | L: CHI
1972-01-04 | w: ATL | L: POR
1972-01-05 | w: BLT | L: DET
1972-01-05 | w: SEA | L: ATL
1972-01-05 | w: BOS | L: HOU
1972-01-05 | w: LAL | L: CLE
1972-01-05 | w: CHI | L: PHL
1972-01-05 | w: MIL | L: CIN
1972-01-06 | w: GOS | L: POR
1972-01-07 | w: LAL | L: ATL
1972-01-07 | w: DET | L: CIN
1972-01-07 | w: SEA | L: CLE
1972-01-07 | w: BLT | L: CHI
1972-01-07 | w: BOS | L: POR
1972-01-07 | w: PHL | L: NYK
1972-01-07 | w: PHX | L: BUF
1972-01-08 | w: GOS | L: BOS
1972-01-08 | w: CHI | L: NYK
1972-01-08 | w: BLT | L: ATL
1972-01-08 | w: MIL | L: DET
1972-01-08 | w: POR | L: CLE
1972-01-08 | w: PHL | L: PHX
1972-01-08 | w: BUF | L: CIN
1972-01-09 | w: DET | L: BUF
1972-01-09 | w: BLT | L: PHX
1972-01-09 | w: SEA | L: BOS
1972-01-09 | w: GOS | L: HOU
1972-01-09 | w: MIL | L: LAL
1972-01-09 | w: CHI | L: CIN
1972-01-11 | w: GOS | L: CLE
1972-01-11 | w: LAL | L: DET
1972-01-11 | w: SEA | L: HOU
1972-01-11 | w: CHI | L: NYK
1972-01-11 | w: PHX | L: MIL
1972-01-11 | w: POR | L: BLT
1972-01-11 | w: CIN | L: BUF
1972-01-12 | w: ATL | L: MIL
1972-01-12 | w: BOS | L: CHI
1972-01-12 | w: BUF | L: PHL
1972-01-12 | w: CIN | L: LAL
1972-01-13 | w: SEA | L: BLT
1972-01-14 | w: BOS | L: DET
1972-01-14 | w: GOS | L: NYK
1972-01-14 | w: PHX | L: CLE
1972-01-14 | w: MIL | L: CHI
1972-01-14 | w: LAL | L: PHL
1972-01-14 | w: CIN | L: ATL
1972-01-14 | w: POR | L: BUF
1972-01-15 | w: BOS | L: ATL
1972-01-15 | w: GOS | L: BLT
1972-01-15 | w: PHL | L: DET
