============ Start of Season ============
1983-12-27 | w: PHL | L: KCK
1983-12-27 | w: BOS | L: SAN
1983-12-27 | w: IND | L: MIL
1983-12-28 | w: DET | L: NYK
1983-12-28 | w: UTH | L: SEA
1983-12-28 | w: PHX | L: GOS
1983-12-28 | w: MIL | L: NJN
1983-12-28 | w: DAL | L: SDC
1983-12-29 | w: HOU | L: BOS
1983-12-29 | w: CHI | L: POR
1983-12-29 | w: CLE | L: ATL
1983-12-29 | w: SAN | L: KCK
1983-12-29 | w: DEN | L: PHL
1983-12-30 | w: GOS | L: LAL
1983-12-30 | w: ATL | L: CLE
1983-12-30 | w: DET | L: CHI
1983-12-30 | w: WAS | L: NYK
1983-12-30 | w: PHX | L: HOU
1983-12-30 | w: MIL | L: POR
1983-12-30 | w: SDC | L: KCK
1983-12-30 | w: DEN | L: UTH
1983-12-30 | w: NJN | L: IND
1983-12-30 | w: BOS | L: DAL
1983-12-30 | w: SEA | L: PHL
1984-01-01 | w: PHL | L: POR
1984-01-02 | w: IND | L: ATL
1984-01-03 | w: NYK | L: LAL
1984-01-03 | w: WAS | L: DET
1984-01-03 | w: DAL | L: HOU
1984-01-03 | w: CHI | L: PHX
1984-01-03 | w: MIL | L: CLE
1984-01-03 | w: POR | L: KCK
1984-01-03 | w: SAN | L: UTH
1984-01-03 | w: SEA | L: DEN
1984-01-03 | w: BOS | L: NJN
1984-01-03 | w: GOS | L: PHL
1984-01-04 | w: NJN | L: ATL
1984-01-04 | w: BOS | L: WAS
1984-01-04 | w: DET | L: PHX
1984-01-04 | w: LAL | L: CLE
1984-01-04 | w: UTH | L: HOU
1984-01-04 | w: IND | L: CHI
1984-01-04 | w: SDC | L: KCK
1984-01-04 | w: DAL | L: SEA
1984-01-05 | w: PHL | L: MIL
1984-01-06 | w: SAN | L: LAL
1984-01-06 | w: ATL | L: MIL
1984-01-06 | w: BOS | L: CLE
1984-01-06 | w: DET | L: NYK
1984-01-06 | w: SEA | L: HOU
1984-01-06 | w: POR | L: DEN
1984-01-06 | w: UTH | L: KCK
1984-01-06 | w: IND | L: PHX
1984-01-06 | w: DAL | L: SDC
1984-01-06 | w: WAS | L: CHI
1984-01-06 | w: PHL | L: NJN
1984-01-07 | w: GOS | L: SAN
1984-01-07 | w: NYK | L: IND
1984-01-07 | w: CHI | L: WAS
1984-01-07 | w: KCK | L: PHX
1984-01-07 | w: DEN | L: DAL
1984-01-07 | w: NJN | L: ATL
1984-01-07 | w: CLE | L: PHL
1984-01-08 | w: HOU | L: LAL
1984-01-08 | w: SEA | L: POR
1984-01-08 | w: DET | L: MIL
1984-01-09 | w: NJN | L: WAS
1984-01-09 | w: NYK | L: PHL
1984-01-10 | w: ATL | L: GOS
1984-01-10 | w: SEA | L: SDC
1984-01-10 | w: CHI | L: IND
1984-01-10 | w: CLE | L: MIL
1984-01-10 | w: POR | L: SAN
1984-01-10 | w: KCK | L: DAL
1984-01-10 | w: UTH | L: PHX
1984-01-10 | w: LAL | L: HOU
1984-01-11 | w: BOS | L: GOS
1984-01-11 | w: PHX | L: SDC
1984-01-11 | w: DEN | L: SAN
1984-01-11 | w: DET | L: IND
1984-01-11 | w: NJN | L: CHI
1984-01-11 | w: DAL | L: UTH
1984-01-11 | w: PHL | L: WAS
1984-01-12 | w: ATL | L: WAS
1984-01-12 | w: POR | L: HOU
1984-01-12 | w: LAL | L: KCK
1984-01-13 | w: SEA | L: PHX
1984-01-13 | w: DAL | L: POR
1984-01-13 | w: ATL | L: IND
1984-01-13 | w: DET | L: CHI
1984-01-13 | w: MIL | L: NYK
1984-01-13 | w: SAN | L: HOU
1984-01-13 | w: LAL | L: DEN
1984-01-13 | w: GOS | L: NJN
1984-01-13 | w: UTH | L: SDC
1984-01-13 | w: BOS | L: PHL
1984-01-14 | w: HOU | L: KCK
