============ Start of Season ============
2016-12-28 | w: MIL | L: DET
2016-12-28 | w: POR | L: SAC
2016-12-28 | w: ATL | L: NYK
2016-12-28 | w: DEN | L: MIN
2016-12-28 | w: WAS | L: IND
2016-12-28 | w: NOP | L: LAC
2016-12-29 | w: DAL | L: LAL
2016-12-29 | w: PHX | L: TOR
2016-12-29 | w: CLE | L: BOS
2016-12-29 | w: UTA | L: PHI
2016-12-29 | w: CHA | L: MIA
2016-12-29 | w: MEM | L: OKC
2016-12-30 | w: GSW | L: DAL
2016-12-30 | w: SAS | L: POR
2016-12-30 | w: BOS | L: MIA
2016-12-30 | w: HOU | L: LAC
2016-12-30 | w: IND | L: CHI
2016-12-30 | w: ATL | L: DET
2016-12-30 | w: PHI | L: DEN
2016-12-30 | w: MIN | L: MIL
2016-12-30 | w: WAS | L: BKN
2016-12-30 | w: NOP | L: NYK
2016-12-31 | w: MIL | L: CHI
2016-12-31 | w: HOU | L: NYK
2016-12-31 | w: UTA | L: PHX
2016-12-31 | w: MEM | L: SAC
2016-12-31 | w: CLE | L: CHA
2016-12-31 | w: OKC | L: LAC
2017-01-01 | w: TOR | L: LAL
2017-01-01 | w: DET | L: MIA
2017-01-01 | w: IND | L: ORL
2017-01-01 | w: ATL | L: SAS
2017-01-01 | w: POR | L: MIN
2017-01-02 | w: GSW | L: DEN
2017-01-02 | w: CHI | L: CHA
2017-01-02 | w: ORL | L: NYK
2017-01-02 | w: UTA | L: BKN
2017-01-02 | w: CLE | L: NOP
2017-01-02 | w: HOU | L: WAS
2017-01-02 | w: LAC | L: PHX
2017-01-02 | w: MIL | L: OKC
2017-01-03 | w: PHI | L: MIN
2017-01-03 | w: SAS | L: TOR
2017-01-03 | w: LAL | L: MEM
2017-01-03 | w: PHX | L: MIA
2017-01-03 | w: BOS | L: UTA
2017-01-03 | w: IND | L: DET
2017-01-03 | w: DAL | L: WAS
2017-01-03 | w: SAC | L: DEN
2017-01-04 | w: GSW | L: POR
2017-01-04 | w: MIL | L: NYK
2017-01-04 | w: CHI | L: CLE
2017-01-04 | w: ATL | L: ORL
2017-01-04 | w: LAC | L: MEM
2017-01-04 | w: MIA | L: SAC
2017-01-04 | w: CHA | L: OKC
2017-01-05 | w: HOU | L: OKC
2017-01-05 | w: DET | L: CHA
2017-01-05 | w: POR | L: LAL
2017-01-05 | w: IND | L: BKN
2017-01-05 | w: PHX | L: DAL
2017-01-05 | w: SAS | L: DEN
2017-01-05 | w: TOR | L: UTA
2017-01-05 | w: ATL | L: NOP
2017-01-06 | w: MEM | L: GSW
2017-01-06 | w: LAL | L: MIA
2017-01-06 | w: BOS | L: PHI
2017-01-06 | w: CLE | L: BKN
2017-01-06 | w: HOU | L: ORL
2017-01-06 | w: NYK | L: MIL
2017-01-06 | w: LAC | L: SAC
2017-01-06 | w: WAS | L: MIN
2017-01-07 | w: SAS | L: CHA
2017-01-07 | w: CHI | L: TOR
2017-01-07 | w: BOS | L: NOP
