============ Start of Season ============
1980-01-09 | w: LAC | L: MIL
1980-01-09 | w: PHI | L: BKN
1980-01-10 | w: SAC | L: CHI
1980-01-11 | w: BOS | L: ATL
1980-01-11 | w: LAL | L: DET
1980-01-11 | w: OKC | L: UTA
1980-01-11 | w: IND | L: CHI
1980-01-11 | w: MIL | L: NYK
1980-01-11 | w: PHI | L: WAS
1980-01-11 | w: SAC | L: DEN
1980-01-11 | w: SAS | L: CLE
1980-01-11 | w: POR | L: BKN
1980-01-11 | w: LAC | L: GSW
1980-01-12 | w: ATL | L: SAS
1980-01-12 | w: GSW | L: PHX
1980-01-12 | w: HOU | L: CLE
1980-01-12 | w: OKC | L: DEN
1980-01-12 | w: LAC | L: UTA
1980-01-12 | w: IND | L: DET
1980-01-13 | w: LAL | L: BOS
1980-01-13 | w: DET | L: CHI
1980-01-13 | w: WAS | L: POR
1980-01-13 | w: OKC | L: GSW
1980-01-13 | w: PHX | L: UTA
1980-01-13 | w: HOU | L: MIL
1980-01-13 | w: PHI | L: NYK
1980-01-13 | w: SAC | L: BKN
1980-01-13 | w: ATL | L: SAS
1980-01-15 | w: LAL | L: UTA
1980-01-15 | w: CLE | L: NYK
1980-01-15 | w: OKC | L: WAS
1980-01-15 | w: CHI | L: SAC
1980-01-15 | w: SAS | L: BKN
1980-01-15 | w: PHX | L: DEN
1980-01-16 | w: BOS | L: CHI
1980-01-16 | w: LAL | L: GSW
1980-01-16 | w: BKN | L: HOU
1980-01-16 | w: SAC | L: MIL
1980-01-16 | w: PHI | L: POR
1980-01-16 | w: PHX | L: UTA
1980-01-16 | w: IND | L: DEN
1980-01-16 | w: LAC | L: ATL
1980-01-17 | w: DET | L: WAS
1980-01-17 | w: PHX | L: ATL
1980-01-17 | w: CLE | L: SAS
1980-01-18 | w: LAL | L: ATL
1980-01-18 | w: BOS | L: POR
1980-01-18 | w: GSW | L: LAC
1980-01-18 | w: OKC | L: NYK
1980-01-18 | w: HOU | L: WAS
1980-01-18 | w: UTA | L: CHI
1980-01-18 | w: DEN | L: MIL
1980-01-18 | w: PHI | L: BKN
1980-01-19 | w: DET | L: HOU
1980-01-19 | w: CHI | L: DEN
1980-01-19 | w: PHX | L: LAC
1980-01-19 | w: PHI | L: CLE
1980-01-19 | w: UTA | L: GSW
1980-01-19 | w: SAS | L: WAS
1980-01-19 | w: IND | L: SAC
1980-01-20 | w: MIL | L: POR
1980-01-20 | w: OKC | L: BOS
1980-01-21 | w: LAL | L: NYK
1980-01-22 | w: BOS | L: HOU
1980-01-22 | w: CHI | L: DET
1980-01-22 | w: CLE | L: WAS
1980-01-22 | w: SAC | L: ATL
1980-01-22 | w: SAS | L: LAC
1980-01-22 | w: UTA | L: MIL
1980-01-23 | w: OKC | L: ATL
1980-01-23 | w: MIL | L: GSW
1980-01-23 | w: BOS | L: DET
1980-01-23 | w: NYK | L: PHX
1980-01-23 | w: PHI | L: DEN
1980-01-23 | w: SAS | L: IND
1980-01-23 | w: BKN | L: CLE
1980-01-23 | w: HOU | L: LAC
1980-01-24 | w: BKN | L: WAS
1980-01-24 | w: POR | L: LAL
1980-01-24 | w: SAC | L: UTA
1980-01-25 | w: LAL | L: PHI
1980-01-25 | w: WAS | L: BOS
1980-01-25 | w: NYK | L: GSW
1980-01-25 | w: PHX | L: MIL
1980-01-25 | w: SAS | L: OKC
1980-01-25 | w: DET | L: BKN
1980-01-25 | w: IND | L: LAC
1980-01-25 | w: CHI | L: SAC
1980-01-26 | w: ATL | L: CHI
1980-01-26 | w: HOU | L: OKC
1980-01-26 | w: IND | L: CLE
1980-01-26 | w: SAC | L: UTA
1980-01-26 | w: DEN | L: POR
1980-01-27 | w: LAL | L: MIL
1980-01-27 | w: BOS | L: LAC
1980-01-27 | w: NYK | L: DET
1980-01-27 | w: WAS | L: GSW
1980-01-27 | w: PHX | L: PHI
1980-01-27 | w: ATL | L: SAS
1980-01-27 | w: IND | L: CLE
1980-01-27 | w: BKN | L: CHI
1980-01-28 | w: NYK | L: GSW
1980-01-28 | w: UTA | L: PHI
1980-01-29 | w: ATL | L: WAS
1980-01-29 | w: GSW | L: DET
1980-01-29 | w: BOS | L: CHI
1980-01-29 | w: MIL | L: POR
1980-01-29 | w: IND | L: HOU
1980-01-29 | w: SAC | L: DEN
1980-01-29 | w: LAC | L: PHX
1980-01-29 | w: CLE | L: LAL
1980-01-30 | w: BOS | L: CLE
1980-01-30 | w: WAS | L: IND
1980-01-30 | w: SAC | L: OKC
1980-01-30 | w: SAS | L: HOU
1980-01-30 | w: PHX | L: DEN
1980-01-30 | w: PHI | L: DET
1980-01-30 | w: UTA | L: BKN
1980-01-31 | w: BOS | L: WAS
1980-01-31 | w: OKC | L: MIL
1980-01-31 | w: PHI | L: HOU
1980-01-31 | w: LAL | L: CHI
1980-01-31 | w: POR | L: SAC
1980-01-31 | w: DEN | L: BKN
1980-01-31 | w: NYK | L: IND
1980-01-31 | w: ATL | L: GSW
1980-02-05 | w: LAL | L: NYK
1980-02-05 | w: OKC | L: CLE
