============ Start of Season ============
1990-01-16 | w: POR | L: DEN
1990-01-16 | w: MIL | L: GSW
1990-01-16 | w: SAC | L: ATL
1990-01-17 | w: PHI | L: DET
1990-01-17 | w: LAL | L: OKC
1990-01-17 | w: SAS | L: NYK
1990-01-17 | w: BKN | L: WAS
1990-01-17 | w: HOU | L: CLE
1990-01-17 | w: BOS | L: ORL
1990-01-17 | w: MIA | L: IND
1990-01-17 | w: UTA | L: ATL
1990-01-17 | w: PHX | L: DAL
1990-01-18 | w: CHI | L: GSW
1990-01-18 | w: PHX | L: MIN
1990-01-18 | w: LAC | L: OKC
1990-01-18 | w: CHA | L: DEN
1990-01-18 | w: MIL | L: WAS
1990-01-19 | w: SAS | L: CLE
1990-01-19 | w: BOS | L: IND
1990-01-19 | w: ORL | L: BKN
1990-01-19 | w: DET | L: GSW
1990-01-19 | w: PHI | L: MIA
1990-01-19 | w: UTA | L: CHA
1990-01-19 | w: CHI | L: ATL
1990-01-19 | w: MIL | L: LAL
1990-01-19 | w: DAL | L: NYK
1990-01-20 | w: HOU | L: WAS
1990-01-20 | w: PHX | L: OKC
1990-01-20 | w: UTA | L: SAC
1990-01-20 | w: DEN | L: SAS
1990-01-20 | w: LAC | L: MIN
1990-01-20 | w: DAL | L: CLE
1990-01-20 | w: PHI | L: BKN
1990-01-21 | w: CHI | L: NYK
1990-01-21 | w: GSW | L: BOS
1990-01-21 | w: LAL | L: DET
1990-01-21 | w: POR | L: CHA
1990-01-21 | w: MIL | L: MIA
1990-01-22 | w: HOU | L: DEN
1990-01-22 | w: PHX | L: ORL
1990-01-22 | w: SAS | L: WAS
1990-01-22 | w: SAC | L: LAC
1990-01-23 | w: GSW | L: MIN
1990-01-23 | w: DET | L: CHI
1990-01-23 | w: LAL | L: NYK
1990-01-23 | w: PHI | L: CLE
1990-01-23 | w: PHX | L: MIA
1990-01-23 | w: POR | L: MIL
1990-01-23 | w: UTA | L: HOU
1990-01-23 | w: DAL | L: WAS
1990-01-23 | w: ATL | L: CHA
1990-01-24 | w: PHI | L: ORL
1990-01-24 | w: SAS | L: LAC
1990-01-24 | w: BOS | L: MIA
1990-01-24 | w: LAL | L: IND
1990-01-24 | w: ATL | L: CLE
1990-01-24 | w: SAC | L: GSW
1990-01-24 | w: MIL | L: OKC
1990-01-25 | w: UTA | L: NYK
1990-01-25 | w: ORL | L: BKN
1990-01-25 | w: HOU | L: LAC
1990-01-25 | w: PHX | L: CHA
1990-01-25 | w: WAS | L: BOS
1990-01-26 | w: PHI | L: CHI
1990-01-26 | w: GSW | L: OKC
1990-01-26 | w: LAL | L: MIL
1990-01-26 | w: DET | L: PHX
1990-01-26 | w: POR | L: SAS
1990-01-26 | w: IND | L: MIA
1990-01-26 | w: DAL | L: SAC
1990-01-26 | w: CLE | L: MIN
1990-01-27 | w: OKC | L: SAS
1990-01-27 | w: DAL | L: HOU
1990-01-27 | w: CHI | L: BKN
1990-01-27 | w: UTA | L: MIL
1990-01-27 | w: CLE | L: IND
1990-01-27 | w: NYK | L: DEN
1990-01-27 | w: POR | L: LAC
1990-01-27 | w: DET | L: MIN
1990-01-27 | w: ATL | L: ORL
1990-01-27 | w: SAC | L: CHA
1990-01-27 | w: PHI | L: WAS
1990-01-28 | w: BOS | L: PHX
1990-01-29 | w: SAS | L: LAL
1990-01-29 | w: CHI | L: ATL
1990-01-29 | w: DAL | L: BKN
1990-01-29 | w: MIN | L: SAC
1990-01-30 | w: PHX | L: BKN
1990-01-30 | w: ORL | L: IND
1990-01-30 | w: LAC | L: LAL
1990-01-30 | w: CLE | L: MIA
1990-01-30 | w: POR | L: UTA
1990-01-30 | w: MIL | L: SAC
1990-01-30 | w: DET | L: ATL
1990-01-31 | w: GSW | L: POR
1990-01-31 | w: SAS | L: CHA
1990-01-31 | w: BOS | L: NYK
1990-01-31 | w: DET | L: WAS
1990-01-31 | w: UTA | L: LAC
1990-01-31 | w: PHI | L: IND
1990-01-31 | w: DAL | L: HOU
1990-01-31 | w: MIN | L: OKC
1990-02-01 | w: NYK | L: SAC
1990-02-01 | w: PHX | L: ATL
1990-02-01 | w: HOU | L: CHI
1990-02-01 | w: MIL | L: ORL
1990-02-01 | w: DEN | L: BKN
1990-02-02 | w: PHI | L: MIL
1990-02-02 | w: GSW | L: BKN
1990-02-02 | w: LAL | L: ATL
1990-02-02 | w: MIA | L: LAC
1990-02-02 | w: UTA | L: DAL
1990-02-02 | w: OKC | L: IND
1990-02-02 | w: MIN | L: BOS
1990-02-02 | w: SAS | L: CHA
1990-02-02 | w: WAS | L: SAC
1990-02-03 | w: NYK | L: IND
1990-02-03 | w: OKC | L: WAS
1990-02-03 | w: PHX | L: HOU
1990-02-03 | w: POR | L: DAL
1990-02-03 | w: DET | L: CLE
1990-02-03 | w: SAS | L: CHI
1990-02-03 | w: LAC | L: ORL
1990-02-04 | w: LAL | L: BKN
1990-02-04 | w: BOS | L: SAC
1990-02-04 | w: DET | L: UTA
1990-02-04 | w: POR | L: PHX
1990-02-04 | w: PHI | L: MIL
1990-02-04 | w: DEN | L: ATL
1990-02-04 | w: GSW | L: MIN
1990-02-05 | w: PHI | L: UTA
1990-02-05 | w: NYK | L: MIA
1990-02-05 | w: CLE | L: LAC
1990-02-05 | w: OKC | L: CHA
1990-02-05 | w: WAS | L: GSW
1990-02-06 | w: SAS | L: ATL
1990-02-06 | w: MIL | L: BOS
1990-02-06 | w: HOU | L: MIN
1990-02-06 | w: NYK | L: ORL
1990-02-06 | w: DET | L: CLE
1990-02-06 | w: WAS | L: MIA
1990-02-06 | w: LAL | L: POR
1990-02-06 | w: DAL | L: SAC
1990-02-06 | w: IND | L: DEN
1990-02-07 | w: GSW | L: PHI
1990-02-07 | w: LAL | L: CHI
1990-02-07 | w: BOS | L: CHA
1990-02-07 | w: UTA | L: BKN
1990-02-07 | w: PHX | L: OKC
1990-02-08 | w: NYK | L: GSW
1990-02-08 | w: CLE | L: MIA
1990-02-08 | w: IND | L: SAS
1990-02-08 | w: ATL | L: HOU
1990-02-08 | w: ORL | L: PHI
1990-02-08 | w: DET | L: MIL
1990-02-08 | w: DAL | L: MIN
1990-02-08 | w: DEN | L: CHI
1990-02-08 | w: UTA | L: CHA
1990-02-08 | w: LAC | L: WAS
1990-02-13 | w: BOS | L: HOU
1990-02-13 | w: PHX | L: LAC
1990-02-13 | w: DET | L: DEN
1990-02-13 | w: CHI | L: MIA
1990-02-13 | w: UTA | L: MIN
1990-02-13 | w: NYK | L: ATL
1990-02-13 | w: IND | L: CHA
1990-02-13 | w: DAL | L: SAS
1990-02-13 | w: SAC | L: WAS
1990-02-13 | w: POR | L: OKC
1990-02-14 | w: PHI | L: BKN
1990-02-14 | w: BOS | L: SAS
1990-02-14 | w: POR | L: LAL
1990-02-14 | w: PHX | L: UTA
1990-02-14 | w: IND | L: CLE
1990-02-14 | w: ORL | L: CHI
1990-02-14 | w: MIL | L: DEN
1990-02-14 | w: MIN | L: CHA
1990-02-15 | w: OKC | L: BKN
1990-02-15 | w: GSW | L: WAS
1990-02-15 | w: HOU | L: NYK
1990-02-15 | w: ATL | L: ORL
1990-02-15 | w: LAL | L: SAC
1990-02-16 | w: PHI | L: OKC
1990-02-16 | w: SAS | L: UTA
