============ Start of Season ============
1972-01-05 | w: WAS | L: DET
1972-01-05 | w: OKC | L: ATL
1972-01-05 | w: BOS | L: HOU
1972-01-05 | w: LAL | L: CLE
1972-01-05 | w: CHI | L: PHI
1972-01-05 | w: MIL | L: SAC
1972-01-06 | w: GSW | L: POR
1972-01-07 | w: LAL | L: ATL
1972-01-07 | w: DET | L: SAC
1972-01-07 | w: OKC | L: CLE
1972-01-07 | w: WAS | L: CHI
1972-01-07 | w: BOS | L: POR
1972-01-07 | w: PHI | L: NYK
1972-01-07 | w: PHX | L: LAC
1972-01-08 | w: GSW | L: BOS
1972-01-08 | w: CHI | L: NYK
1972-01-08 | w: WAS | L: ATL
1972-01-08 | w: MIL | L: DET
1972-01-08 | w: POR | L: CLE
1972-01-08 | w: PHI | L: PHX
1972-01-08 | w: LAC | L: SAC
1972-01-09 | w: DET | L: LAC
1972-01-09 | w: WAS | L: PHX
1972-01-09 | w: OKC | L: BOS
1972-01-09 | w: GSW | L: HOU
1972-01-09 | w: MIL | L: LAL
1972-01-09 | w: CHI | L: SAC
1972-01-11 | w: GSW | L: CLE
1972-01-11 | w: LAL | L: DET
1972-01-11 | w: OKC | L: HOU
1972-01-11 | w: CHI | L: NYK
1972-01-11 | w: PHX | L: MIL
1972-01-11 | w: POR | L: WAS
1972-01-11 | w: SAC | L: LAC
1972-01-12 | w: ATL | L: MIL
1972-01-12 | w: BOS | L: CHI
1972-01-12 | w: LAC | L: PHI
1972-01-12 | w: SAC | L: LAL
1972-01-13 | w: OKC | L: WAS
1972-01-14 | w: BOS | L: DET
1972-01-14 | w: GSW | L: NYK
1972-01-14 | w: PHX | L: CLE
1972-01-14 | w: MIL | L: CHI
1972-01-14 | w: LAL | L: PHI
1972-01-14 | w: SAC | L: ATL
1972-01-14 | w: POR | L: LAC
1972-01-15 | w: BOS | L: ATL
1972-01-15 | w: GSW | L: WAS
1972-01-15 | w: PHI | L: DET
1972-01-15 | w: OKC | L: PHX
1972-01-15 | w: HOU | L: CLE
1972-01-15 | w: CHI | L: POR
1972-01-16 | w: ATL | L: PHI
1972-01-16 | w: NYK | L: HOU
1972-01-16 | w: MIL | L: POR
1972-01-16 | w: WAS | L: PHX
1972-01-16 | w: SAC | L: CLE
1972-01-20 | w: PHX | L: NYK
1972-01-20 | w: HOU | L: SAC
1972-01-21 | w: NYK | L: LAL
1972-01-21 | w: GSW | L: ATL
1972-01-21 | w: BOS | L: HOU
1972-01-21 | w: DET | L: WAS
1972-01-21 | w: PHX | L: OKC
1972-01-21 | w: MIL | L: CLE
1972-01-21 | w: PHI | L: POR
1972-01-21 | w: CHI | L: LAC
1972-01-22 | w: WAS | L: POR
1972-01-22 | w: CHI | L: HOU
1972-01-22 | w: PHX | L: LAL
1972-01-22 | w: GSW | L: PHI
1972-01-22 | w: SAC | L: CLE
1972-01-23 | w: BOS | L: POR
1972-01-23 | w: HOU | L: DET
1972-01-23 | w: WAS | L: SAC
1972-01-23 | w: NYK | L: OKC
1972-01-23 | w: ATL | L: MIL
1972-01-24 | w: CHI | L: GSW
1972-01-25 | w: LAL | L: PHX
1972-01-25 | w: NYK | L: BOS
1972-01-25 | w: HOU | L: POR
1972-01-25 | w: MIL | L: OKC
1972-01-25 | w: GSW | L: CLE
1972-01-25 | w: ATL | L: LAC
1972-01-26 | w: OKC | L: ATL
1972-01-26 | w: CLE | L: BOS
1972-01-26 | w: MIL | L: DET
1972-01-26 | w: CHI | L: HOU
1972-01-26 | w: PHI | L: SAC
1972-01-26 | w: WAS | L: LAC
1972-01-27 | w: GSW | L: CHI
1972-01-28 | w: LAL | L: HOU
1972-01-28 | w: ATL | L: DET
1972-01-28 | w: CHI | L: PHX
1972-01-28 | w: GSW | L: POR
1972-01-28 | w: MIL | L: PHI
1972-01-28 | w: WAS | L: SAC
1972-01-28 | w: OKC | L: LAC
1972-01-28 | w: BOS | L: NYK
1972-01-29 | w: GSW | L: PHX
1972-01-29 | w: NYK | L: OKC
