============ Start of Season ============
1986-01-21 | w: NYK | L: GSW
1986-01-21 | w: UTA | L: DEN
1986-01-22 | w: ATL | L: GSW
1986-01-22 | w: BOS | L: LAL
1986-01-22 | w: DET | L: CLE
1986-01-22 | w: DEN | L: BKN
1986-01-22 | w: LAC | L: DAL
1986-01-22 | w: PHI | L: PHX
1986-01-23 | w: WAS | L: PHX
1986-01-23 | w: HOU | L: SAC
1986-01-23 | w: BKN | L: UTA
1986-01-23 | w: POR | L: OKC
1986-01-24 | w: ATL | L: NYK
1986-01-24 | w: BOS | L: GSW
1986-01-24 | w: SAS | L: DEN
1986-01-24 | w: LAC | L: LAL
1986-01-24 | w: MIL | L: IND
1986-01-24 | w: DET | L: DAL
1986-01-24 | w: PHI | L: CLE
1986-01-25 | w: DEN | L: LAL
1986-01-25 | w: MIL | L: NYK
1986-01-25 | w: WAS | L: ATL
1986-01-25 | w: OKC | L: BKN
1986-01-25 | w: HOU | L: DET
1986-01-25 | w: CHI | L: PHX
1986-01-25 | w: POR | L: SAC
1986-01-25 | w: UTA | L: LAC
1986-01-25 | w: DAL | L: SAS
1986-01-25 | w: IND | L: GSW
1986-01-26 | w: SAC | L: POR
1986-01-26 | w: BOS | L: PHI
1986-01-27 | w: MIL | L: UTA
1986-01-27 | w: DET | L: SAS
1986-01-27 | w: DEN | L: CLE
1986-01-27 | w: LAC | L: BKN
1986-01-27 | w: DAL | L: CHI
1986-01-28 | w: LAL | L: MIL
1986-01-28 | w: ATL | L: IND
1986-01-28 | w: BKN | L: GSW
1986-01-28 | w: NYK | L: CHI
1986-01-28 | w: HOU | L: CLE
1986-01-28 | w: PHX | L: POR
1986-01-28 | w: SAC | L: DEN
1986-01-28 | w: PHI | L: OKC
1986-01-29 | w: DET | L: ATL
1986-01-29 | w: PHX | L: LAC
1986-01-29 | w: IND | L: WAS
1986-01-29 | w: DAL | L: SAS
1986-01-29 | w: UTA | L: PHI
1986-01-30 | w: MIL | L: GSW
1986-01-30 | w: BOS | L: CHI
1986-01-30 | w: LAL | L: POR
1986-01-30 | w: HOU | L: SAC
1986-01-30 | w: SAS | L: CLE
1986-01-30 | w: DEN | L: NYK
1986-01-30 | w: OKC | L: BKN
1986-01-31 | w: ATL | L: DET
1986-01-31 | w: BOS | L: WAS
1986-01-31 | w: NYK | L: PHX
1986-01-31 | w: UTA | L: SAC
1986-01-31 | w: IND | L: OKC
1986-01-31 | w: DAL | L: CLE
1986-01-31 | w: LAL | L: PHI
1986-02-01 | w: DET | L: WAS
1986-02-01 | w: CHI | L: HOU
1986-02-01 | w: POR | L: LAC
1986-02-01 | w: PHX | L: SAS
1986-02-01 | w: DEN | L: MIL
1986-02-01 | w: BKN | L: ATL
1986-02-01 | w: GSW | L: PHI
1986-02-02 | w: NYK | L: LAL
1986-02-02 | w: BOS | L: OKC
1986-02-02 | w: IND | L: CHI
1986-02-02 | w: DAL | L: UTA
1986-02-03 | w: HOU | L: DEN
1986-02-03 | w: SAC | L: NYK
1986-02-03 | w: SAS | L: UTA
1986-02-04 | w: LAL | L: DAL
1986-02-04 | w: DET | L: CHI
1986-02-04 | w: PHX | L: GSW
1986-02-04 | w: BOS | L: MIL
1986-02-04 | w: ATL | L: CLE
1986-02-04 | w: DEN | L: POR
1986-02-04 | w: IND | L: BKN
1986-02-04 | w: SAS | L: OKC
1986-02-05 | w: BOS | L: WAS
1986-02-05 | w: PHI | L: BKN
1986-02-06 | w: LAL | L: HOU
1986-02-06 | w: PHX | L: LAC
1986-02-06 | w: MIL | L: CHI
1986-02-06 | w: DAL | L: POR
1986-02-06 | w: SAC | L: OKC
1986-02-06 | w: UTA | L: NYK
1986-02-06 | w: DEN | L: SAS
1986-02-06 | w: ATL | L: IND
1986-02-06 | w: DET | L: WAS
1986-02-06 | w: PHI | L: CLE
1986-02-11 | w: GSW | L: LAL
1986-02-11 | w: OKC | L: UTA
1986-02-11 | w: HOU | L: ATL
1986-02-11 | w: WAS | L: POR
1986-02-11 | w: CLE | L: IND
1986-02-11 | w: SAC | L: BOS
1986-02-11 | w: DAL | L: SAS
1986-02-11 | w: BKN | L: DET
1986-02-11 | w: LAC | L: PHX
1986-02-12 | w: DET | L: NYK
1986-02-12 | w: LAL | L: PHX
1986-02-12 | w: MIL | L: IND
1986-02-12 | w: DAL | L: DEN
1986-02-12 | w: PHI | L: CHI
1986-02-13 | w: GSW | L: WAS
1986-02-13 | w: BOS | L: OKC
1986-02-13 | w: MIL | L: UTA
1986-02-13 | w: CLE | L: BKN
1986-02-13 | w: ATL | L: SAC
1986-02-13 | w: SAS | L: HOU
1986-02-13 | w: LAC | L: POR
1986-02-13 | w: PHI | L: NYK
1986-02-14 | w: LAL | L: ATL
1986-02-14 | w: DET | L: DAL
1986-02-14 | w: IND | L: CHI
1986-02-14 | w: PHX | L: DEN
1986-02-14 | w: BOS | L: POR
1986-02-15 | w: UTA | L: NYK
1986-02-15 | w: OKC | L: WAS
1986-02-15 | w: MIL | L: BKN
1986-02-15 | w: DEN | L: GSW
1986-02-15 | w: LAC | L: HOU
1986-02-15 | w: IND | L: CLE
1986-02-15 | w: DET | L: PHI
1986-02-16 | w: BOS | L: LAL
1986-02-16 | w: DAL | L: CHI
1986-02-16 | w: ATL | L: POR
1986-02-16 | w: SAS | L: SAC
1986-02-17 | w: HOU | L: GSW
1986-02-17 | w: DET | L: UTA
1986-02-17 | w: OKC | L: ATL
1986-02-17 | w: PHX | L: BOS
1986-02-17 | w: CLE | L: NYK
1986-02-17 | w: IND | L: CHI
1986-02-17 | w: WAS | L: LAC
1986-02-17 | w: DAL | L: BKN
1986-02-17 | w: MIL | L: PHI
1986-02-18 | w: CLE | L: NYK
1986-02-18 | w: SAC | L: HOU
1986-02-18 | w: DEN | L: WAS
1986-02-18 | w: SAS | L: PHX
1986-02-19 | w: BOS | L: GSW
1986-02-19 | w: DET | L: OKC
1986-02-19 | w: LAL | L: IND
1986-02-19 | w: CHI | L: BKN
1986-02-19 | w: MIL | L: DAL
1986-02-19 | w: UTA | L: ATL
1986-02-19 | w: PHI | L: POR
1986-02-20 | w: MIL | L: HOU
1986-02-20 | w: DET | L: CLE
1986-02-20 | w: SAC | L: SAS
1986-02-20 | w: DEN | L: BOS
1986-02-21 | w: ATL | L: IND
1986-02-21 | w: NYK | L: OKC
1986-02-21 | w: CHI | L: POR
1986-02-21 | w: SAC | L: PHX
1986-02-21 | w: BKN | L: LAL
1986-02-21 | w: GSW | L: LAC
1986-02-21 | w: HOU | L: DAL
1986-02-21 | w: PHI | L: WAS
1986-02-22 | w: ATL | L: BKN
1986-02-22 | w: DET | L: POR
1986-02-22 | w: WAS | L: CLE
1986-02-22 | w: UTA | L: PHX
1986-02-22 | w: MIL | L: SAS
1986-02-22 | w: DEN | L: DAL
1986-02-22 | w: CHI | L: OKC
1986-02-23 | w: BOS | L: IND
1986-02-23 | w: LAC | L: NYK
1986-02-23 | w: SAC | L: GSW
1986-02-23 | w: LAL | L: PHI
1986-02-24 | w: ATL | L: LAL
1986-02-24 | w: DET | L: CHI
1986-02-24 | w: WAS | L: BKN
1986-02-24 | w: HOU | L: DAL
1986-02-24 | w: DEN | L: POR
1986-02-24 | w: CLE | L: SAS
1986-02-25 | w: BOS | L: NYK
1986-02-25 | w: SAC | L: OKC
1986-02-25 | w: MIL | L: LAC
1986-02-25 | w: UTA | L: HOU
1986-02-25 | w: DEN | L: PHX
1986-02-25 | w: IND | L: WAS
1986-02-25 | w: GSW | L: BKN
1986-02-25 | w: PHI | L: CHI
1986-02-26 | w: ATL | L: CLE
1986-02-26 | w: BOS | L: SAS
1986-02-26 | w: DET | L: LAC
1986-02-26 | w: PHX | L: POR
1986-02-26 | w: LAL | L: DAL
1986-02-27 | w: WAS | L: GSW
1986-02-27 | w: OKC | L: POR
1986-02-27 | w: HOU | L: DEN
1986-02-27 | w: UTA | L: IND
1986-02-28 | w: LAL | L: PHX
1986-02-28 | w: BOS | L: LAC
1986-02-28 | w: DET | L: ATL
1986-02-28 | w: CHI | L: CLE
1986-02-28 | w: MIL | L: WAS
1986-02-28 | w: SAC | L: IND
1986-02-28 | w: BKN | L: SAS
1986-02-28 | w: PHI | L: DAL
1986-03-01 | w: ATL | L: SAS
1986-03-01 | w: BKN | L: NYK
1986-03-01 | w: PHX | L: LAL
1986-03-01 | w: POR | L: HOU
1986-03-01 | w: UTA | L: SAC
1986-03-01 | w: DAL | L: GSW
1986-03-01 | w: PHI | L: DEN
1986-03-02 | w: BOS | L: DET
1986-03-02 | w: WAS | L: MIL
1986-03-02 | w: IND | L: LAC
1986-03-03 | w: LAL | L: GSW
1986-03-03 | w: OKC | L: HOU
1986-03-03 | w: MIL | L: NYK
1986-03-03 | w: DAL | L: PHX
1986-03-04 | w: NYK | L: WAS
1986-03-04 | w: DET | L: BKN
1986-03-04 | w: BOS | L: CHI
1986-03-04 | w: POR | L: IND
1986-03-04 | w: SAC | L: UTA
1986-03-04 | w: DEN | L: HOU
1986-03-04 | w: LAC | L: CLE
1986-03-04 | w: GSW | L: SAS
