============ Start of Season ============
1971-03-11 | w: OKC | L: DET
1971-03-11 | w: HOU | L: BOS
1971-03-11 | w: POR | L: WAS
1971-03-12 | w: LAC | L: LAL
1971-03-12 | w: GSW | L: OKC
1971-03-12 | w: CHI | L: PHX
1971-03-12 | w: DET | L: POR
1971-03-12 | w: ATL | L: CLE
1971-03-12 | w: SAC | L: BOS
1971-03-13 | w: GSW | L: DET
1971-03-13 | w: NYK | L: MIL
1971-03-13 | w: HOU | L: WAS
1971-03-13 | w: CHI | L: PHX
1971-03-13 | w: SAC | L: ATL
1971-03-14 | w: LAL | L: DET
1971-03-14 | w: ATL | L: PHI
1971-03-14 | w: BOS | L: CHI
1971-03-14 | w: OKC | L: WAS
1971-03-14 | w: PHX | L: MIL
1971-03-14 | w: POR | L: LAC
1971-03-14 | w: SAC | L: CLE
1971-03-16 | w: NYK | L: LAL
1971-03-16 | w: CHI | L: WAS
1971-03-16 | w: MIL | L: PHX
1971-03-16 | w: ATL | L: PHI
1971-03-16 | w: CLE | L: GSW
1971-03-16 | w: SAC | L: LAC
1971-03-17 | w: BOS | L: LAL
1971-03-17 | w: WAS | L: CLE
1971-03-17 | w: HOU | L: DET
1971-03-17 | w: GSW | L: SAC
1971-03-18 | w: OKC | L: MIL
1971-03-18 | w: GSW | L: CHI
1971-03-18 | w: NYK | L: PHX
1971-03-19 | w: PHX | L: LAL
1971-03-19 | w: BOS | L: WAS
1971-03-19 | w: DET | L: LAC
1971-03-19 | w: HOU | L: MIL
1971-03-19 | w: POR | L: OKC
1971-03-19 | w: PHI | L: SAC
1971-03-19 | w: ATL | L: CHI
1971-03-20 | w: WAS | L: PHI
1971-03-20 | w: CHI | L: ATL
1971-03-20 | w: PHX | L: OKC
1971-03-20 | w: CLE | L: DET
1971-03-20 | w: POR | L: LAC
1971-03-21 | w: LAL | L: NYK
1971-03-21 | w: BOS | L: SAC
1971-03-21 | w: DET | L: CHI
1971-03-21 | w: OKC | L: GSW
1971-03-21 | w: HOU | L: PHX
1971-03-21 | w: POR | L: CLE
1971-03-21 | w: PHI | L: WAS
1971-03-23 | w: POR | L: CLE
============ End of Regular Season ============
1971-03-24 | w: LAL | L: CHI
1971-03-24 | w: PHI | L: WAS
1971-03-25 | w: NYK | L: ATL
1971-03-26 | w: LAL | L: CHI
1971-03-26 | w: WAS | L: PHI
1971-03-27 | w: MIL | L: GSW
1971-03-27 | w: ATL | L: NYK
1971-03-28 | w: NYK | L: ATL
