============ Start of Season ============
1988-02-21 | w: MIL | L: PHI
1988-02-22 | w: BOS | L: NYK
1988-02-22 | w: GSW | L: SAS
1988-02-22 | w: DEN | L: WAS
1988-02-22 | w: DAL | L: PHX
1988-02-22 | w: HOU | L: PHI
1988-02-23 | w: LAL | L: WAS
1988-02-23 | w: ATL | L: IND
1988-02-23 | w: NYK | L: MIL
1988-02-23 | w: DET | L: SAC
1988-02-23 | w: POR | L: BKN
1988-02-23 | w: CHI | L: OKC
1988-02-24 | w: BOS | L: POR
1988-02-24 | w: DET | L: GSW
1988-02-24 | w: DEN | L: UTA
1988-02-24 | w: MIL | L: IND
1988-02-24 | w: DAL | L: CLE
1988-02-24 | w: SAS | L: PHI
1988-02-25 | w: DAL | L: HOU
1988-02-25 | w: PHX | L: CLE
1988-02-25 | w: WAS | L: SAC
1988-02-25 | w: NYK | L: LAC
1988-02-26 | w: LAL | L: UTA
1988-02-26 | w: BOS | L: MIL
1988-02-26 | w: NYK | L: GSW
1988-02-26 | w: DET | L: BKN
1988-02-26 | w: OKC | L: SAC
1988-02-26 | w: POR | L: CHI
1988-02-26 | w: SAS | L: HOU
1988-02-26 | w: ATL | L: IND
1988-02-26 | w: DEN | L: PHI
1988-02-27 | w: POR | L: ATL
1988-02-27 | w: OKC | L: GSW
1988-02-27 | w: MIL | L: CHI
1988-02-27 | w: WAS | L: PHX
1988-02-27 | w: IND | L: BKN
1988-02-27 | w: LAC | L: CLE
1988-02-27 | w: DAL | L: PHI
1988-02-28 | w: LAL | L: PHX
1988-02-28 | w: DET | L: BOS
1988-02-28 | w: HOU | L: SAS
1988-02-28 | w: DEN | L: NYK
1988-02-29 | w: WAS | L: GSW
1988-02-29 | w: POR | L: CLE
1988-02-29 | w: UTA | L: SAC
1988-02-29 | w: DAL | L: DEN
1988-02-29 | w: PHI | L: CHI
1988-03-01 | w: DET | L: ATL
1988-03-01 | w: NYK | L: IND
1988-03-01 | w: OKC | L: LAL
1988-03-01 | w: MIL | L: BOS
1988-03-01 | w: SAS | L: PHX
1988-03-01 | w: UTA | L: HOU
1988-03-01 | w: BKN | L: LAC
1988-03-02 | w: DEN | L: CLE
1988-03-02 | w: BKN | L: BOS
1988-03-02 | w: HOU | L: GSW
1988-03-02 | w: DET | L: LAC
1988-03-02 | w: WAS | L: IND
1988-03-02 | w: DAL | L: SAC
1988-03-03 | w: POR | L: PHX
1988-03-03 | w: CHI | L: PHI
1988-03-04 | w: LAL | L: GSW
1988-03-04 | w: BOS | L: LAC
1988-03-04 | w: UTA | L: OKC
1988-03-04 | w: SAC | L: SAS
1988-03-04 | w: WAS | L: IND
1988-03-04 | w: DEN | L: PHX
1988-03-04 | w: DAL | L: HOU
1988-03-04 | w: NYK | L: PHI
