============ Start of Season ============
1953-03-22 | w: SAC | L: DET
1953-03-23 | w: LAL | L: INO
1953-03-24 | w: DET | L: SAC
1953-03-25 | w: NYK | L: BOS
1953-03-26 | w: BOS | L: NYK
1953-03-26 | w: LAL | L: DET
1953-03-28 | w: NYK | L: BOS
1953-03-28 | w: LAL | L: DET
1953-03-29 | w: NYK | L: BOS
1953-03-30 | w: DET | L: LAL
1953-04-01 | w: DET | L: LAL
1953-04-02 | w: LAL | L: DET
1953-04-04 | w: NYK | L: LAL
1953-04-05 | w: LAL | L: NYK
1953-04-07 | w: LAL | L: NYK
1953-04-08 | w: LAL | L: NYK
1953-04-10 | w: LAL | L: NYK
============ End of Playoffs ============
