============ Start of Season ============
1967-02-15 | w: SAC | L: NYK
1967-02-16 | w: SAC | L: DET
1967-02-16 | w: GSW | L: CHI
1967-02-16 | w: NYK | L: ATL
1967-02-17 | w: BOS | L: LAL
1967-02-17 | w: ATL | L: WAS
1967-02-17 | w: PHI | L: SAC
1967-02-18 | w: DET | L: WAS
1967-02-18 | w: GSW | L: BOS
1967-02-18 | w: NYK | L: SAC
1967-02-19 | w: CHI | L: LAL
1967-02-19 | w: PHI | L: ATL
1967-02-19 | w: WAS | L: DET
1967-02-20 | w: SAC | L: ATL
1967-02-21 | w: DET | L: ATL
1967-02-21 | w: GSW | L: LAL
1967-02-21 | w: BOS | L: NYK
1967-02-22 | w: CHI | L: NYK
1967-02-22 | w: LAL | L: SAC
1967-02-22 | w: BOS | L: WAS
1967-02-23 | w: BOS | L: NYK
1967-02-24 | w: SAC | L: GSW
1967-02-24 | w: DET | L: LAL
1967-02-24 | w: PHI | L: WAS
1967-02-25 | w: SAC | L: GSW
1967-02-25 | w: NYK | L: WAS
1967-02-25 | w: LAL | L: ATL
1967-02-26 | w: LAL | L: SAC
1967-02-26 | w: BOS | L: ATL
1967-02-26 | w: WAS | L: CHI
1967-02-27 | w: ATL | L: DET
1967-02-28 | w: LAL | L: DET
1967-02-28 | w: NYK | L: GSW
1967-02-28 | w: PHI | L: SAC
1967-03-01 | w: BOS | L: GSW
1967-03-01 | w: DET | L: NYK
1967-03-01 | w: WAS | L: ATL
1967-03-01 | w: CHI | L: PHI
1967-03-01 | w: SAC | L: LAL
1967-03-02 | w: BOS | L: CHI
1967-03-02 | w: PHI | L: GSW
1967-03-03 | w: PHI | L: DET
1967-03-03 | w: LAL | L: NYK
1967-03-03 | w: BOS | L: SAC
1967-03-04 | w: CHI | L: ATL
1967-03-04 | w: GSW | L: NYK
1967-03-04 | w: SAC | L: WAS
1967-03-05 | w: ATL | L: WAS
1967-03-05 | w: BOS | L: LAL
1967-03-05 | w: NYK | L: GSW
1967-03-05 | w: CHI | L: SAC
1967-03-05 | w: PHI | L: DET
1967-03-06 | w: BOS | L: DET
1967-03-06 | w: PHI | L: LAL
1967-03-06 | w: SAC | L: ATL
1967-03-07 | w: LAL | L: NYK
1967-03-07 | w: CHI | L: BOS
1967-03-08 | w: ATL | L: LAL
1967-03-08 | w: DET | L: WAS
1967-03-08 | w: PHI | L: BOS
1967-03-10 | w: LAL | L: DET
1967-03-10 | w: ATL | L: GSW
1967-03-10 | w: CHI | L: WAS
1967-03-11 | w: LAL | L: GSW
1967-03-11 | w: BOS | L: PHI
1967-03-11 | w: SAC | L: CHI
1967-03-12 | w: DET | L: LAL
1967-03-12 | w: ATL | L: SAC
1967-03-12 | w: BOS | L: WAS
1967-03-12 | w: PHI | L: NYK
1967-03-13 | w: ATL | L: BOS
1967-03-13 | w: GSW | L: DET
1967-03-13 | w: SAC | L: CHI
1967-03-14 | w: PHI | L: GSW
1967-03-14 | w: ATL | L: CHI
1967-03-15 | w: PHI | L: LAL
1967-03-15 | w: CHI | L: DET
1967-03-15 | w: WAS | L: NYK
1967-03-15 | w: SAC | L: BOS
1967-03-16 | w: GSW | L: PHI
1967-03-16 | w: BOS | L: DET
1967-03-16 | w: SAC | L: ATL
1967-03-17 | w: LAL | L: WAS
1967-03-17 | w: CHI | L: GSW
1967-03-18 | w: ATL | L: DET
1967-03-18 | w: BOS | L: NYK
1967-03-18 | w: PHI | L: WAS
1967-03-18 | w: SAC | L: GSW
1967-03-19 | w: BOS | L: NYK
1967-03-19 | w: GSW | L: DET
1967-03-19 | w: PHI | L: WAS
1967-03-19 | w: CHI | L: LAL
============ End of Regular Season ============
