============ Start of Season ============
1991-01-29 | w: UTA | L: ATL
1991-01-29 | w: DEN | L: MIL
1991-01-29 | w: DAL | L: OKC
1991-01-29 | w: WAS | L: MIA
1991-01-30 | w: BOS | L: ORL
1991-01-30 | w: DET | L: CLE
1991-01-30 | w: PHX | L: MIA
1991-01-30 | w: IND | L: CHA
1991-01-30 | w: MIN | L: SAC
1991-01-31 | w: GSW | L: LAC
1991-01-31 | w: SAS | L: CHI
1991-01-31 | w: LAL | L: ATL
1991-01-31 | w: WAS | L: NYK
1991-01-31 | w: OKC | L: HOU
1991-01-31 | w: UTA | L: POR
1991-01-31 | w: DEN | L: BKN
1991-02-01 | w: CHA | L: BOS
1991-02-01 | w: PHI | L: PHX
1991-02-01 | w: LAL | L: LAC
1991-02-01 | w: MIA | L: IND
1991-02-01 | w: POR | L: GSW
1991-02-01 | w: MIL | L: SAC
1991-02-01 | w: CHI | L: DAL
1991-02-01 | w: DET | L: WAS
1991-02-02 | w: NYK | L: SAC
1991-02-02 | w: UTA | L: BKN
1991-02-02 | w: DEN | L: ATL
1991-02-02 | w: IND | L: OKC
1991-02-02 | w: HOU | L: SAS
1991-02-02 | w: ORL | L: MIA
1991-02-02 | w: CLE | L: MIN
1991-02-03 | w: LAL | L: CHI
1991-02-03 | w: BOS | L: WAS
1991-02-03 | w: HOU | L: GSW
1991-02-03 | w: PHX | L: DET
1991-02-03 | w: MIL | L: CHA
1991-02-03 | w: MIN | L: PHI
1991-02-04 | w: MIL | L: CLE
1991-02-04 | w: POR | L: BKN
1991-02-04 | w: CHI | L: SAC
1991-02-04 | w: OKC | L: CHA
1991-02-05 | w: GSW | L: SAS
1991-02-05 | w: LAL | L: LAC
1991-02-05 | w: PHX | L: DEN
1991-02-05 | w: ORL | L: NYK
1991-02-05 | w: DET | L: PHI
1991-02-05 | w: ATL | L: CLE
1991-02-05 | w: DAL | L: IND
1991-02-05 | w: MIN | L: UTA
1991-02-06 | w: PHI | L: WAS
1991-02-06 | w: BOS | L: CHA
1991-02-06 | w: MIA | L: BKN
1991-02-06 | w: UTA | L: PHX
1991-02-06 | w: HOU | L: MIL
1991-02-06 | w: SAC | L: POR
1991-02-06 | w: OKC | L: LAC
1991-02-07 | w: SAS | L: IND
1991-02-07 | w: BOS | L: NYK
1991-02-07 | w: HOU | L: CLE
1991-02-07 | w: ORL | L: MIN
1991-02-07 | w: CHI | L: DET
1991-02-07 | w: ATL | L: CHA
1991-02-07 | w: DAL | L: GSW
1991-02-07 | w: WAS | L: BKN
1991-02-12 | w: GSW | L: MIN
1991-02-12 | w: SAS | L: WAS
1991-02-12 | w: CHI | L: ATL
1991-02-12 | w: PHX | L: LAL
1991-02-12 | w: ORL | L: DEN
1991-02-12 | w: CLE | L: MIA
1991-02-12 | w: POR | L: PHI
1991-02-12 | w: NYK | L: IND
1991-02-12 | w: UTA | L: HOU
1991-02-12 | w: SAC | L: LAC
1991-02-12 | w: CHA | L: DAL
1991-02-12 | w: BOS | L: OKC
1991-02-13 | w: LAL | L: MIN
1991-02-13 | w: BKN | L: ATL
1991-02-13 | w: CLE | L: DAL
1991-02-13 | w: IND | L: DET
1991-02-14 | w: BOS | L: GSW
1991-02-14 | w: PHX | L: SAS
1991-02-14 | w: CHI | L: NYK
1991-02-14 | w: HOU | L: WAS
1991-02-14 | w: OKC | L: ORL
1991-02-14 | w: MIA | L: DEN
1991-02-14 | w: DET | L: MIL
1991-02-14 | w: SAC | L: PHI
1991-02-15 | w: BOS | L: LAL
1991-02-15 | w: BKN | L: DEN
1991-02-15 | w: CLE | L: NYK
1991-02-15 | w: LAC | L: MIN
1991-02-15 | w: POR | L: UTA
1991-02-15 | w: DAL | L: WAS
1991-02-15 | w: MIL | L: CHA
1991-02-16 | w: ATL | L: OKC
1991-02-16 | w: HOU | L: PHX
1991-02-16 | w: CHI | L: BKN
1991-02-16 | w: UTA | L: MIN
1991-02-16 | w: DAL | L: SAS
1991-02-16 | w: MIA | L: CHA
1991-02-16 | w: GSW | L: PHI
1991-02-17 | w: LAL | L: POR
1991-02-17 | w: NYK | L: DET
1991-02-17 | w: MIL | L: ORL
1991-02-17 | w: PHI | L: LAC
1991-02-17 | w: IND | L: SAC
1991-02-17 | w: BOS | L: DEN
1991-02-17 | w: WAS | L: CLE
1991-02-18 | w: DAL | L: GSW
1991-02-18 | w: CHI | L: CLE
1991-02-18 | w: DET | L: OKC
1991-02-18 | w: UTA | L: SAS
1991-02-18 | w: MIN | L: DEN
1991-02-19 | w: PHI | L: OKC
1991-02-19 | w: CHI | L: WAS
1991-02-19 | w: ATL | L: NYK
1991-02-19 | w: PHX | L: BOS
1991-02-19 | w: BKN | L: SAC
1991-02-19 | w: LAL | L: HOU
1991-02-19 | w: POR | L: DAL
1991-02-19 | w: MIL | L: MIA
1991-02-19 | w: IND | L: CHA
1991-02-20 | w: CLE | L: SAC
1991-02-20 | w: PHX | L: LAC
1991-02-20 | w: DET | L: ATL
1991-02-20 | w: IND | L: ORL
1991-02-20 | w: GSW | L: MIN
1991-02-21 | w: OKC | L: NYK
1991-02-21 | w: HOU | L: MIL
1991-02-21 | w: LAL | L: DAL
1991-02-21 | w: POR | L: DEN
1991-02-21 | w: MIA | L: WAS
1991-02-22 | w: UTA | L: GSW
1991-02-22 | w: CHI | L: SAC
1991-02-22 | w: BOS | L: BKN
1991-02-22 | w: IND | L: CLE
1991-02-22 | w: LAC | L: SAS
1991-02-22 | w: PHI | L: MIA
1991-02-22 | w: POR | L: PHX
