============ Start of Season ============
1979-12-22 | w: PHL | L: BOS
1979-12-22 | w: PHX | L: SAC
1979-12-22 | w: SAN | L: DET
1979-12-22 | w: DEN | L: LAL
1979-12-22 | w: IND | L: ATL
1979-12-23 | w: LAL | L: OKC
1979-12-23 | w: PHX | L: MIL
1979-12-23 | w: NYK | L: POR
1979-12-23 | w: LAC | L: UTH
1979-12-25 | w: NYK | L: BKN
1979-12-25 | w: PHL | L: WAS
1979-12-25 | w: POR | L: GOS
1979-12-25 | w: CLE | L: DET
1979-12-25 | w: UTH | L: DEN
1979-12-26 | w: IND | L: DET
1979-12-26 | w: HOU | L: SAN
1979-12-26 | w: OKC | L: LAC
1979-12-26 | w: PHX | L: POR
1979-12-26 | w: MIL | L: CHI
1979-12-26 | w: SAC | L: LAL
1979-12-26 | w: DEN | L: GOS
1979-12-26 | w: BKN | L: WAS
1979-12-27 | w: ATL | L: HOU
1979-12-27 | w: WAS | L: MIL
1979-12-27 | w: CLE | L: NYK
1979-12-27 | w: PHL | L: SAN
1979-12-27 | w: LAL | L: UTH
1979-12-27 | w: BOS | L: LAC
1979-12-28 | w: LAL | L: BOS
1979-12-28 | w: DET | L: DEN
1979-12-28 | w: OKC | L: POR
1979-12-28 | w: NYK | L: CHI
1979-12-28 | w: PHX | L: SAC
1979-12-28 | w: BKN | L: IND
1979-12-29 | w: ATL | L: DET
1979-12-29 | w: BOS | L: GOS
1979-12-29 | w: NYK | L: MIL
1979-12-29 | w: LAC | L: WAS
1979-12-29 | w: HOU | L: PHL
1979-12-29 | w: CLE | L: DEN
1979-12-29 | w: UTH | L: IND
1979-12-29 | w: SAN | L: SAC
1979-12-30 | w: LAL | L: PHX
1979-12-30 | w: UTH | L: MIL
1979-12-30 | w: OKC | L: POR
1980-01-01 | w: NYK | L: SAN
1980-01-01 | w: POR | L: WAS
1980-01-02 | w: GOS | L: POR
1980-01-02 | w: BOS | L: HOU
1980-01-02 | w: SAN | L: PHX
1980-01-02 | w: DEN | L: DET
1980-01-02 | w: LAL | L: IND
1980-01-02 | w: LAC | L: BKN
1980-01-02 | w: SAC | L: UTH
1980-01-02 | w: WAS | L: OKC
