============ Start of Season ============
1982-01-07 | w: OKC | L: HOU
1982-01-07 | w: WAS | L: CLE
1982-01-07 | w: SAC | L: NYK
1982-01-07 | w: DAL | L: LAC
1982-01-08 | w: CHI | L: LAL
1982-01-08 | w: ATL | L: MIL
1982-01-08 | w: DEN | L: POR
1982-01-08 | w: UTH | L: IND
1982-01-08 | w: BKN | L: CLE
1982-01-08 | w: BOS | L: PHL
1982-01-09 | w: ATL | L: NYK
1982-01-09 | w: GOS | L: IND
1982-01-09 | w: LAL | L: DET
1982-01-09 | w: SAN | L: SAC
1982-01-09 | w: OKC | L: DEN
1982-01-09 | w: LAC | L: UTH
1982-01-09 | w: DAL | L: PHX
1982-01-09 | w: BKN | L: PHL
1982-01-10 | w: BOS | L: DET
1982-01-10 | w: HOU | L: POR
1982-01-10 | w: MIL | L: LAL
1982-01-10 | w: WAS | L: NYK
1982-01-11 | w: BOS | L: BKN
1982-01-12 | w: DEN | L: SAC
1982-01-12 | w: DET | L: CHI
1982-01-12 | w: HOU | L: LAC
1982-01-12 | w: PHX | L: GOS
1982-01-12 | w: POR | L: IND
1982-01-12 | w: LAL | L: CLE
1982-01-12 | w: NYK | L: UTH
1982-01-12 | w: SAN | L: DAL
1982-01-12 | w: PHL | L: WAS
1982-01-13 | w: BOS | L: ATL
1982-01-13 | w: GOS | L: DEN
1982-01-13 | w: OKC | L: IND
1982-01-13 | w: SAC | L: CLE
1982-01-13 | w: LAC | L: DAL
1982-01-13 | w: MIL | L: PHL
1982-01-14 | w: WAS | L: DET
1982-01-14 | w: POR | L: HOU
1982-01-14 | w: PHX | L: NYK
1982-01-14 | w: BKN | L: CHI
1982-01-15 | w: GOS | L: NYK
1982-01-15 | w: WAS | L: CHI
1982-01-15 | w: OKC | L: UTH
1982-01-15 | w: MIL | L: BOS
1982-01-15 | w: SAC | L: BKN
1982-01-15 | w: SAN | L: HOU
1982-01-15 | w: DEN | L: DAL
1982-01-15 | w: LAL | L: IND
1982-01-15 | w: LAC | L: CLE
1982-01-15 | w: ATL | L: PHL
1982-01-16 | w: BOS | L: DET
1982-01-16 | w: HOU | L: SAN
1982-01-16 | w: PHX | L: LAC
1982-01-16 | w: CLE | L: UTH
1982-01-16 | w: POR | L: DAL
1982-01-17 | w: WAS | L: ATL
1982-01-17 | w: OKC | L: GOS
1982-01-17 | w: DET | L: MIL
1982-01-17 | w: LAL | L: SAC
1982-01-17 | w: DEN | L: LAC
1982-01-17 | w: IND | L: CHI
1982-01-17 | w: BKN | L: PHL
1982-01-19 | w: ATL | L: POR
1982-01-19 | w: BOS | L: NYK
1982-01-19 | w: HOU | L: SAC
1982-01-19 | w: CHI | L: IND
1982-01-19 | w: PHX | L: SAN
1982-01-19 | w: OKC | L: CLE
1982-01-19 | w: UTH | L: DET
1982-01-19 | w: DEN | L: LAL
1982-01-20 | w: LAL | L: BKN
1982-01-20 | w: BOS | L: IND
1982-01-20 | w: LAC | L: GOS
1982-01-20 | w: WAS | L: OKC
1982-01-20 | w: DAL | L: MIL
1982-01-20 | w: PHL | L: POR
1982-01-21 | w: NYK | L: ATL
1982-01-21 | w: DAL | L: SAC
1982-01-21 | w: SAN | L: UTH
1982-01-21 | w: DET | L: LAC
1982-01-22 | w: LAL | L: DET
1982-01-22 | w: SAN | L: ATL
1982-01-22 | w: OKC | L: BOS
1982-01-22 | w: WAS | L: POR
1982-01-22 | w: HOU | L: UTH
1982-01-22 | w: CHI | L: CLE
1982-01-22 | w: BKN | L: PHX
1982-01-22 | w: MIL | L: DEN
1982-01-22 | w: PHL | L: IND
1982-01-23 | w: GOS | L: MIL
1982-01-23 | w: DEN | L: HOU
1982-01-23 | w: PHX | L: DET
1982-01-23 | w: ATL | L: CLE
1982-01-23 | w: IND | L: SAN
1982-01-23 | w: BKN | L: LAC
1982-01-23 | w: DAL | L: UTH
1982-01-23 | w: WAS | L: SAC
1982-01-23 | w: CHI | L: NYK
1982-01-23 | w: PHL | L: OKC
1982-01-24 | w: POR | L: BOS
1982-01-25 | w: OKC | L: NYK
1982-01-26 | w: MIL | L: LAL
1982-01-26 | w: DAL | L: ATL
1982-01-26 | w: WAS | L: CHI
1982-01-26 | w: HOU | L: IND
1982-01-26 | w: BKN | L: UTH
1982-01-26 | w: SAN | L: PHL
1982-01-27 | w: BOS | L: NYK
1982-01-27 | w: DET | L: ATL
1982-01-27 | w: CLE | L: GOS
1982-01-27 | w: OKC | L: SAC
1982-01-27 | w: DEN | L: BKN
1982-01-27 | w: LAC | L: PHX
1982-01-27 | w: PHL | L: DAL
1982-01-28 | w: LAL | L: PHX
1982-01-28 | w: NYK | L: WAS
1982-01-28 | w: GOS | L: CHI
1982-01-28 | w: POR | L: LAC
1982-01-28 | w: BOS | L: CLE
1982-01-28 | w: SAN | L: SAC
1982-01-28 | w: MIL | L: UTH
1982-01-28 | w: HOU | L: PHL
1982-02-02 | w: DET | L: ATL
1982-02-02 | w: GOS | L: LAL
1982-02-02 | w: CLE | L: WAS
1982-02-02 | w: HOU | L: LAC
1982-02-02 | w: BKN | L: CHI
1982-02-02 | w: POR | L: SAC
1982-02-02 | w: SAN | L: DAL
1982-02-02 | w: BOS | L: IND
1982-02-02 | w: DEN | L: NYK
1982-02-03 | w: NYK | L: LAL
1982-02-03 | w: OKC | L: SAC
1982-02-03 | w: GOS | L: PHX
1982-02-03 | w: MIL | L: CHI
1982-02-03 | w: CLE | L: IND
