============ Start of Season ============
1998-01-02 | w: IND | L: WAS
1998-01-03 | w: IND | L: TOR
1998-01-03 | w: POR | L: HOU
1998-01-03 | w: UTA | L: ATL
1998-01-03 | w: NYK | L: ORL
1998-01-03 | w: SAS | L: MIA
1998-01-03 | w: BOS | L: MIL
1998-01-03 | w: CHI | L: DET
1998-01-03 | w: MIN | L: DEN
1998-01-03 | w: CLE | L: BKN
1998-01-03 | w: LAC | L: DAL
1998-01-04 | w: PHI | L: LAL
1998-01-04 | w: SAC | L: CHH
1998-01-04 | w: OKC | L: MEM
1998-01-04 | w: WAS | L: PHX
1998-01-05 | w: WAS | L: NYK
1998-01-05 | w: MIL | L: POR
1998-01-05 | w: SAS | L: ORL
1998-01-05 | w: HOU | L: TOR
1998-01-06 | w: PHX | L: IND
1998-01-06 | w: DAL | L: DEN
1998-01-06 | w: UTA | L: PHI
1998-01-06 | w: CHI | L: BOS
1998-01-06 | w: SAC | L: LAC
1998-01-06 | w: OKC | L: CHH
1998-01-06 | w: CLE | L: HOU
1998-01-06 | w: LAL | L: MEM
1998-01-07 | w: SAS | L: DEN
1998-01-07 | w: LAL | L: MIL
1998-01-07 | w: NYK | L: BKN
1998-01-07 | w: MIA | L: CHI
1998-01-07 | w: CHH | L: POR
1998-01-07 | w: PHX | L: MIN
1998-01-07 | w: ORL | L: TOR
1998-01-07 | w: LAC | L: MEM
1998-01-07 | w: ATL | L: GSW
1998-01-07 | w: WAS | L: BOS
1998-01-08 | w: BKN | L: ORL
1998-01-08 | w: IND | L: HOU
1998-01-08 | w: SAC | L: DAL
1998-01-08 | w: UTA | L: MIL
1998-01-08 | w: OKC | L: CLE
1998-01-09 | w: MIA | L: DEN
1998-01-09 | w: CHI | L: NYK
1998-01-09 | w: MIN | L: POR
1998-01-09 | w: PHX | L: SAS
1998-01-09 | w: ATL | L: WAS
1998-01-09 | w: DET | L: GSW
1998-01-09 | w: OKC | L: BOS
1998-01-09 | w: CHH | L: MEM
1998-01-09 | w: LAL | L: LAC
1998-01-10 | w: MIN | L: BKN
1998-01-10 | w: UTA | L: HOU
1998-01-10 | w: SAS | L: SAC
1998-01-10 | w: IND | L: DAL
1998-01-10 | w: CHI | L: GSW
1998-01-10 | w: MIL | L: POR
1998-01-10 | w: ORL | L: BOS
1998-01-10 | w: TOR | L: CLE
1998-01-11 | w: NYK | L: OKC
1998-01-11 | w: CHH | L: LAL
1998-01-11 | w: DET | L: LAC
1998-01-11 | w: MIA | L: MEM
1998-01-11 | w: ATL | L: WAS
1998-01-12 | w: UTA | L: CLE
1998-01-12 | w: MIL | L: LAC
1998-01-12 | w: SAC | L: PHX
1998-01-12 | w: MIN | L: GSW
1998-01-12 | w: BKN | L: TOR
1998-01-13 | w: HOU | L: DAL
1998-01-13 | w: ORL | L: DEN
1998-01-13 | w: PHI | L: MEM
1998-01-13 | w: ATL | L: NYK
1998-01-13 | w: CHI | L: OKC
1998-01-13 | w: MIA | L: POR
1998-01-13 | w: CLE | L: PHX
1998-01-13 | w: BKN | L: CHH
1998-01-13 | w: SAS | L: BOS
1998-01-14 | w: IND | L: DET
1998-01-14 | w: LAL | L: DEN
1998-01-14 | w: MIL | L: GSW
1998-01-14 | w: SAC | L: ORL
1998-01-14 | w: TOR | L: LAC
1998-01-14 | w: ATL | L: DAL
1998-01-14 | w: SAS | L: WAS
1998-01-15 | w: LAC | L: BKN
1998-01-15 | w: PHI | L: CHI
1998-01-15 | w: OKC | L: MIA
1998-01-15 | w: DET | L: CHH
1998-01-15 | w: BOS | L: MEM
1998-01-16 | w: IND | L: SAC
1998-01-16 | w: MIN | L: HOU
1998-01-16 | w: CLE | L: DEN
1998-01-16 | w: POR | L: UTA
1998-01-16 | w: CHI | L: MIL
1998-01-16 | w: PHX | L: ORL
1998-01-16 | w: ATL | L: GSW
1998-01-16 | w: SAS | L: CHH
1998-01-16 | w: WAS | L: MEM
1998-01-17 | w: BKN | L: ATL
1998-01-17 | w: MIN | L: DAL
1998-01-17 | w: UTA | L: ORL
1998-01-17 | w: PHI | L: GSW
1998-01-17 | w: LAL | L: MIA
1998-01-17 | w: OKC | L: CLE
1998-01-17 | w: NYK | L: TOR
1998-01-17 | w: WAS | L: LAC
1998-01-18 | w: POR | L: DEN
1998-01-18 | w: CHI | L: HOU
1998-01-18 | w: SAS | L: MIL
1998-01-18 | w: PHX | L: MIA
1998-01-18 | w: IND | L: BOS
1998-01-19 | w: BKN | L: SAS
1998-01-19 | w: OKC | L: HOU
1998-01-19 | w: UTA | L: DET
1998-01-19 | w: NYK | L: BOS
1998-01-19 | w: PHI | L: SAC
1998-01-19 | w: LAL | L: ORL
1998-01-19 | w: MIN | L: LAC
1998-01-19 | w: CHH | L: TOR
1998-01-20 | w: DAL | L: OKC
1998-01-20 | w: ATL | L: MIL
1998-01-20 | w: POR | L: CLE
1998-01-20 | w: MEM | L: DEN
1998-01-20 | w: PHX | L: GSW
1998-01-21 | w: BKN | L: HOU
1998-01-21 | w: SAS | L: ATL
1998-01-21 | w: DET | L: DEN
1998-01-21 | w: UTA | L: GSW
1998-01-21 | w: NYK | L: IND
1998-01-21 | w: CHI | L: CHH
1998-01-21 | w: MIA | L: PHI
1998-01-21 | w: LAL | L: PHX
1998-01-21 | w: MIL | L: ORL
1998-01-21 | w: MIN | L: BOS
1998-01-21 | w: TOR | L: SAC
1998-01-21 | w: POR | L: WAS
1998-01-22 | w: CLE | L: SAC
1998-01-22 | w: CHH | L: HOU
1998-01-22 | w: DET | L: LAC
1998-01-23 | w: CHI | L: BKN
1998-01-23 | w: IND | L: UTA
1998-01-23 | w: SAS | L: DAL
1998-01-23 | w: PHI | L: POR
1998-01-23 | w: MIA | L: ORL
1998-01-23 | w: PHX | L: DEN
1998-01-23 | w: BOS | L: ATL
1998-01-23 | w: MEM | L: GSW
1998-01-24 | w: IND | L: BOS
1998-01-24 | w: HOU | L: SAS
1998-01-24 | w: CHH | L: DAL
1998-01-24 | w: OKC | L: LAL
1998-01-24 | w: MIL | L: SAC
1998-01-24 | w: NYK | L: DET
1998-01-24 | w: CLE | L: PHI
1998-01-24 | w: TOR | L: MIN
1998-01-24 | w: POR | L: ATL
1998-01-24 | w: MEM | L: GSW
1998-01-24 | w: DEN | L: LAC
1998-01-24 | w: WAS | L: BKN
1998-01-25 | w: UTA | L: CHI
1998-01-26 | w: SAS | L: HOU
1998-01-26 | w: CLE | L: MIA
1998-01-26 | w: SAC | L: OKC
1998-01-26 | w: PHX | L: ATL
1998-01-26 | w: TOR | L: PHI
1998-01-26 | w: BOS | L: NYK
1998-01-27 | w: IND | L: WAS
1998-01-27 | w: HOU | L: LAC
1998-01-27 | w: BKN | L: DEN
1998-01-27 | w: DAL | L: CLE
1998-01-27 | w: GSW | L: POR
1998-01-27 | w: MIL | L: DET
1998-01-27 | w: MIN | L: ATL
1998-01-27 | w: CHI | L: MEM
1998-01-27 | w: CHH | L: PHX
1998-01-28 | w: SAS | L: LAC
1998-01-28 | w: OKC | L: UTA
1998-01-28 | w: BKN | L: LAL
1998-01-28 | w: MIA | L: NYK
1998-01-28 | w: IND | L: PHI
1998-01-28 | w: DET | L: ORL
1998-01-28 | w: BOS | L: WAS
1998-01-29 | w: ORL | L: HOU
1998-01-29 | w: TOR | L: DEN
1998-01-29 | w: MIL | L: NYK
1998-01-29 | w: CHI | L: POR
1998-01-29 | w: OKC | L: GSW
1998-01-29 | w: ATL | L: PHI
1998-01-29 | w: MIN | L: MEM
1998-01-30 | w: IND | L: CLE
1998-01-30 | w: UTA | L: DAL
1998-01-30 | w: LAL | L: MIN
1998-01-30 | w: PHX | L: MIA
1998-01-30 | w: SAC | L: TOR
1998-01-30 | w: WAS | L: DET
1998-01-30 | w: CHH | L: BOS
1998-01-30 | w: SAS | L: LAC
1998-01-30 | w: CHI | L: GSW
1998-01-31 | w: DEN | L: DAL
1998-01-31 | w: HOU | L: PHI
1998-01-31 | w: PHX | L: ORL
1998-01-31 | w: ATL | L: CHH
1998-01-31 | w: CLE | L: DET
1998-01-31 | w: BKN | L: MEM
1998-02-01 | w: NYK | L: MIA
1998-02-01 | w: LAL | L: CHI
1998-02-01 | w: POR | L: TOR
1998-02-01 | w: SAS | L: SAC
1998-02-01 | w: OKC | L: BKN
1998-02-01 | w: MIL | L: MIN
1998-02-01 | w: BOS | L: HOU
1998-02-01 | w: IND | L: LAC
1998-02-01 | w: UTA | L: GSW
1998-02-02 | w: CHI | L: DEN
1998-02-02 | w: DAL | L: MEM
1998-02-02 | w: MIA | L: ATL
1998-02-02 | w: PHX | L: PHI
1998-02-02 | w: CLE | L: MIN
1998-02-02 | w: WAS | L: DET
1998-02-03 | w: HOU | L: MEM
1998-02-03 | w: POR | L: BKN
1998-02-03 | w: MIL | L: NYK
1998-02-03 | w: IND | L: SAC
1998-02-03 | w: ORL | L: ATL
1998-02-03 | w: PHX | L: TOR
1998-02-03 | w: CHH | L: BOS
1998-02-03 | w: SAS | L: GSW
1998-02-03 | w: LAC | L: UTA
1998-02-04 | w: SAC | L: DEN
1998-02-04 | w: UTA | L: CHI
1998-02-04 | w: MIA | L: PHI
1998-02-04 | w: LAL | L: POR
1998-02-04 | w: OKC | L: IND
1998-02-04 | w: MIN | L: NYK
1998-02-04 | w: BOS | L: DAL
1998-02-04 | w: WAS | L: CLE
1998-02-05 | w: BKN | L: PHX
1998-02-05 | w: MIA | L: MIL
1998-02-05 | w: ORL | L: WAS
1998-02-05 | w: TOR | L: DAL
1998-02-05 | w: DET | L: HOU
1998-02-05 | w: ATL | L: CLE
1998-02-05 | w: CHH | L: MEM
1998-02-10 | w: IND | L: ORL
1998-02-10 | w: BKN | L: DAL
1998-02-10 | w: HOU | L: OKC
1998-02-10 | w: DEN | L: BOS
1998-02-10 | w: UTA | L: LAC
1998-02-10 | w: NYK | L: CHH
1998-02-10 | w: CHI | L: TOR
1998-02-10 | w: POR | L: LAL
1998-02-10 | w: ATL | L: MIL
1998-02-10 | w: PHX | L: SAC
1998-02-10 | w: MIA | L: CLE
1998-02-10 | w: WAS | L: GSW
1998-02-11 | w: OKC | L: SAS
1998-02-11 | w: LAL | L: GSW
1998-02-11 | w: PHI | L: DAL
1998-02-11 | w: IND | L: MIA
1998-02-11 | w: ORL | L: MIN
1998-02-11 | w: DET | L: MIL
1998-02-11 | w: CHI | L: CHH
1998-02-11 | w: WAS | L: LAC
1998-02-12 | w: UTA | L: BOS
1998-02-12 | w: SAC | L: DEN
1998-02-12 | w: POR | L: PHX
1998-02-12 | w: CLE | L: TOR
