============ Start of Season ============
1968-02-23 | w: GSW | L: BOS
1968-02-23 | w: OKC | L: HOU
1968-02-23 | w: PHL | L: DET
1968-02-24 | w: BOS | L: OKC
1968-02-24 | w: GSW | L: SAC
1968-02-24 | w: NYK | L: CHI
1968-02-24 | w: WAS | L: DET
1968-02-25 | w: PHL | L: ATL
1968-02-25 | w: NYK | L: DET
1968-02-25 | w: LAL | L: HOU
1968-02-26 | w: BOS | L: HOU
1968-02-27 | w: LAL | L: SAC
1968-02-27 | w: ATL | L: NYK
1968-02-27 | w: PHL | L: GSW
1968-02-28 | w: BOS | L: GSW
1968-02-28 | w: NYK | L: WAS
1968-02-29 | w: LAL | L: CHI
1968-02-29 | w: SAC | L: HOU
1968-02-29 | w: ATL | L: NYK
1968-03-01 | w: BOS | L: CHI
1968-03-01 | w: SAC | L: GSW
1968-03-01 | w: DET | L: ATL
1968-03-01 | w: WAS | L: HOU
1968-03-02 | w: LAL | L: OKC
1968-03-02 | w: GSW | L: WAS
1968-03-02 | w: NYK | L: DET
1968-03-03 | w: LAL | L: WAS
1968-03-03 | w: ATL | L: HOU
1968-03-03 | w: PHL | L: BOS
1968-03-03 | w: DET | L: CHI
1968-03-03 | w: SAC | L: OKC
1968-03-05 | w: ATL | L: GSW
1968-03-05 | w: BOS | L: NYK
1968-03-05 | w: WAS | L: OKC
1968-03-05 | w: DET | L: CHI
1968-03-05 | w: PHL | L: HOU
1968-03-06 | w: ATL | L: LAL
1968-03-06 | w: BOS | L: NYK
1968-03-06 | w: DET | L: HOU
1968-03-06 | w: SAC | L: PHL
1968-03-07 | w: ATL | L: OKC
1968-03-07 | w: LAL | L: HOU
1968-03-07 | w: CHI | L: BOS
1968-03-07 | w: PHL | L: SAC
1968-03-08 | w: LAL | L: HOU
1968-03-08 | w: WAS | L: OKC
1968-03-08 | w: PHL | L: BOS
1968-03-08 | w: DET | L: SAC
1968-03-09 | w: OKC | L: HOU
1968-03-09 | w: ATL | L: CHI
1968-03-09 | w: LAL | L: GSW
1968-03-10 | w: WAS | L: LAL
1968-03-10 | w: DET | L: ATL
1968-03-10 | w: SAC | L: BOS
1968-03-10 | w: PHL | L: NYK
1968-03-10 | w: GSW | L: OKC
1968-03-11 | w: BOS | L: OKC
1968-03-11 | w: CHI | L: SAC
1968-03-12 | w: PHL | L: CHI
1968-03-12 | w: NYK | L: WAS
1968-03-12 | w: DET | L: OKC
1968-03-12 | w: BOS | L: GSW
1968-03-13 | w: LAL | L: GSW
1968-03-13 | w: CHI | L: WAS
1968-03-13 | w: BOS | L: HOU
1968-03-13 | w: NYK | L: PHL
1968-03-13 | w: SAC | L: OKC
1968-03-14 | w: SAC | L: ATL
1968-03-15 | w: LAL | L: NYK
1968-03-15 | w: DET | L: GSW
1968-03-15 | w: OKC | L: CHI
1968-03-15 | w: PHL | L: WAS
1968-03-16 | w: LAL | L: DET
1968-03-16 | w: ATL | L: OKC
1968-03-16 | w: BOS | L: WAS
