============ Start of Season ============
1958-03-09 | w: SAC | L: BOS
1958-03-09 | w: LAL | L: ATL
1958-03-09 | w: PHI | L: DET
1958-03-10 | w: SAC | L: ATL
1958-03-11 | w: BOS | L: NYK
1958-03-11 | w: GSW | L: ATL
1958-03-12 | w: NYK | L: BOS
1958-03-12 | w: SAC | L: LAL
1958-03-12 | w: PHI | L: GSW
============ End of Regular Season ============
1958-03-15 | w: DET | L: SAC
1958-03-15 | w: PHI | L: GSW
1958-03-16 | w: GSW | L: PHI
1958-03-16 | w: DET | L: SAC
1958-03-18 | w: GSW | L: PHI
1958-03-19 | w: BOS | L: GSW
1958-03-19 | w: ATL | L: DET
1958-03-22 | w: BOS | L: GSW
1958-03-22 | w: ATL | L: DET
1958-03-23 | w: BOS | L: GSW
1958-03-23 | w: DET | L: ATL
1958-03-25 | w: ATL | L: DET
1958-03-26 | w: GSW | L: BOS
1958-03-27 | w: BOS | L: GSW
1958-03-27 | w: ATL | L: DET
1958-03-29 | w: ATL | L: BOS
1958-03-30 | w: BOS | L: ATL
1958-04-02 | w: ATL | L: BOS
1958-04-05 | w: BOS | L: ATL
1958-04-09 | w: ATL | L: BOS
1958-04-12 | w: ATL | L: BOS
============ End of Playoffs ============
