============ Start of Season ============
1989-02-03 | w: SAN | L: LAC
1989-02-03 | w: DAL | L: PHX
1989-02-03 | w: CHH | L: OKC
1989-02-03 | w: DET | L: PHL
1989-02-04 | w: GOS | L: LAC
1989-02-04 | w: MIL | L: WAS
1989-02-04 | w: POR | L: SAN
1989-02-04 | w: DEN | L: UTH
1989-02-04 | w: NYK | L: IND
1989-02-04 | w: ATL | L: PHX
1989-02-05 | w: LAL | L: BKN
1989-02-05 | w: OKC | L: BOS
1989-02-05 | w: DET | L: CHI
1989-02-05 | w: HOU | L: DEN
1989-02-05 | w: MIA | L: SAC
1989-02-05 | w: CLE | L: CHH
1989-02-06 | w: PHX | L: UTH
1989-02-06 | w: DAL | L: LAC
1989-02-07 | w: NYK | L: WAS
1989-02-07 | w: CHI | L: CHH
1989-02-07 | w: MIL | L: CLE
1989-02-07 | w: POR | L: DAL
1989-02-07 | w: SAC | L: SAN
1989-02-07 | w: UTH | L: MIA
1989-02-07 | w: BKN | L: OKC
1989-02-08 | w: GOS | L: LAL
1989-02-08 | w: NYK | L: ATL
1989-02-08 | w: BOS | L: IND
1989-02-08 | w: DET | L: MIL
1989-02-08 | w: LAC | L: HOU
1989-02-08 | w: PHL | L: OKC
1989-02-09 | w: WAS | L: BKN
1989-02-09 | w: PHX | L: LAC
1989-02-09 | w: HOU | L: POR
1989-02-09 | w: CLE | L: IND
1989-02-09 | w: SAC | L: GOS
1989-02-09 | w: DAL | L: UTH
1989-02-09 | w: CHI | L: SAN
1989-02-09 | w: DEN | L: MIA
1989-02-09 | w: CHH | L: ATL
1989-02-14 | w: DET | L: LAL
1989-02-14 | w: OKC | L: SAN
1989-02-14 | w: HOU | L: BOS
1989-02-14 | w: ATL | L: CHI
1989-02-14 | w: MIL | L: BKN
1989-02-14 | w: WAS | L: SAC
1989-02-14 | w: UTH | L: DEN
1989-02-14 | w: DAL | L: LAC
1989-02-14 | w: NYK | L: CHH
1989-02-14 | w: CLE | L: MIA
1989-02-14 | w: PHL | L: IND
1989-02-15 | w: GOS | L: SAN
1989-02-15 | w: PHX | L: OKC
1989-02-15 | w: CLE | L: NYK
1989-02-15 | w: DEN | L: WAS
1989-02-15 | w: ATL | L: BKN
1989-02-15 | w: PHL | L: IND
1989-02-16 | w: CHI | L: MIL
1989-02-16 | w: LAL | L: POR
1989-02-16 | w: DET | L: SAC
1989-02-16 | w: UTH | L: BOS
1989-02-16 | w: DAL | L: MIA
1989-02-16 | w: GOS | L: LAC
1989-02-17 | w: ATL | L: CLE
1989-02-17 | w: OKC | L: WAS
1989-02-17 | w: HOU | L: DEN
1989-02-17 | w: PHX | L: BOS
1989-02-17 | w: MIA | L: CHH
1989-02-17 | w: BKN | L: PHL
1989-02-18 | w: NYK | L: BKN
1989-02-18 | w: OKC | L: POR
1989-02-18 | w: PHX | L: SAC
1989-02-18 | w: UTH | L: SAN
1989-02-18 | w: WAS | L: LAC
1989-02-18 | w: HOU | L: DAL
1989-02-18 | w: CHH | L: IND
1989-02-18 | w: GOS | L: DET
1989-02-18 | w: CLE | L: PHL
1989-02-19 | w: LAL | L: BOS
1989-02-19 | w: CHI | L: MIL
1989-02-19 | w: MIA | L: ATL
1989-02-20 | w: ATL | L: LAC
1989-02-20 | w: CHI | L: POR
1989-02-20 | w: CLE | L: HOU
1989-02-20 | w: LAL | L: SAC
1989-02-20 | w: DAL | L: SAN
1989-02-20 | w: UTH | L: PHX
1989-02-20 | w: DEN | L: DET
1989-02-20 | w: BKN | L: MIA
1989-02-21 | w: NYK | L: HOU
1989-02-21 | w: WAS | L: LAC
1989-02-21 | w: OKC | L: BOS
1989-02-21 | w: MIL | L: IND
1989-02-21 | w: PHX | L: GOS
1989-02-22 | w: DET | L: POR
1989-02-22 | w: CLE | L: BKN
1989-02-22 | w: BOS | L: SAC
1989-02-22 | w: UTH | L: LAL
1989-02-22 | w: GOS | L: SAN
1989-02-22 | w: DEN | L: DAL
1989-02-22 | w: CHI | L: CHH
1989-02-22 | w: PHL | L: MIA
1989-02-23 | w: ATL | L: IND
1989-02-23 | w: NYK | L: CHH
1989-02-23 | w: BKN | L: LAC
1989-02-24 | w: LAL | L: SAC
1989-02-24 | w: BOS | L: MIL
1989-02-24 | w: WAS | L: NYK
1989-02-24 | w: CHI | L: HOU
1989-02-24 | w: CLE | L: POR
1989-02-24 | w: IND | L: SAN
1989-02-24 | w: DEN | L: UTH
1989-02-24 | w: GOS | L: DAL
1989-02-24 | w: MIA | L: LAC
1989-02-24 | w: PHX | L: PHL
1989-02-25 | w: ATL | L: CHI
1989-02-25 | w: SAC | L: OKC
1989-02-25 | w: MIL | L: HOU
1989-02-25 | w: DET | L: BKN
1989-02-25 | w: DAL | L: WAS
1989-02-25 | w: CHH | L: SAN
1989-02-26 | w: LAL | L: PHX
1989-02-26 | w: NYK | L: BOS
1989-02-26 | w: DET | L: LAC
1989-02-26 | w: IND | L: UTH
1989-02-26 | w: POR | L: MIA
1989-02-26 | w: DEN | L: PHL
1989-02-27 | w: ATL | L: DAL
1989-02-27 | w: GOS | L: DEN
1989-02-27 | w: WAS | L: HOU
1989-02-27 | w: MIL | L: SAN
1989-02-27 | w: OKC | L: SAC
1989-02-27 | w: UTH | L: BKN
1989-02-28 | w: IND | L: OKC
1989-02-28 | w: CHI | L: SAN
1989-02-28 | w: POR | L: PHX
1989-02-28 | w: CLE | L: DET
1989-02-28 | w: BOS | L: CHH
1989-02-28 | w: DAL | L: MIA
1989-02-28 | w: PHL | L: LAC
1989-03-01 | w: LAL | L: GOS
1989-03-01 | w: BOS | L: ATL
1989-03-01 | w: DET | L: UTH
1989-03-01 | w: WAS | L: BKN
1989-03-01 | w: MIL | L: NYK
1989-03-01 | w: PHL | L: SAC
1989-03-02 | w: NYK | L: MIA
1989-03-02 | w: PHX | L: SAC
1989-03-02 | w: CLE | L: SAN
1989-03-02 | w: DEN | L: HOU
1989-03-02 | w: POR | L: LAC
1989-03-02 | w: BKN | L: CHH
1989-03-02 | w: IND | L: GOS
1989-03-03 | w: LAL | L: IND
1989-03-03 | w: ATL | L: CHH
1989-03-03 | w: BOS | L: DAL
1989-03-03 | w: DET | L: CLE
1989-03-03 | w: OKC | L: HOU
1989-03-03 | w: CHI | L: MIL
1989-03-03 | w: UTH | L: MIA
1989-03-03 | w: POR | L: PHL
1989-03-04 | w: GOS | L: SAC
1989-03-04 | w: NYK | L: CHI
1989-03-04 | w: WAS | L: DAL
1989-03-04 | w: PHX | L: LAC
